Gene	ENSEMBL	median (tumor)	median (normal)	log2FC	adj.p.val	Rank
LRWD1	ENSG00000161036.10	10.19	9.94	0.033	0.788	0.103473782510445
FBXL13	ENSG00000161040.16	0.31	0.44	-0.137	6.48E-11	-10.1884249941294
NAPEPLD	ENSG00000161048.11	7.4	7.67	-0.046	0.931	-0.031050319018657
SCGB3A1	ENSG00000161055.3	2.705	14.491	-2.064	6.55E-30	-29.1837587000082
PSMC2	ENSG00000161057.10	47.841	34.49	0.461	8.38E-11	10.0767559813697
MFSD12	ENSG00000161091.12	44.649	36.734	0.275	4.61E-09	8.33629907461035
USP41	ENSG00000161133.16	5.135	2.31	0.89	2.06E-11	10.6861327796308
TUBA3FP	ENSG00000161149.11	0.22	0.645	-0.431	3.98E-69	-68.4001169279263
YDJC	ENSG00000161179.13	17.685	19.08	-0.104	0.0872	-1.05948351506743
PCYT1A	ENSG00000161217.11	15.69	19.9	-0.325	1.56E-11	-10.8068754016455
FBXO27	ENSG00000161243.8	3.78	6.03	-0.556	3.64E-14	-13.4388986163509
U2AF1L4	ENSG00000161265.14	14.255	35.799	-1.27	9.21E-76	-75.0357403698032
THAP8	ENSG00000161277.10	4.82	4.71	0.027	0.484	0.315154638355588
ZNF382	ENSG00000161298.16	1.115	1.355	-0.155	1.23E-06	-5.9100948885606
LRRC56	ENSG00000161328.10	3.975	2.97	0.326	1.75E-11	10.7569619513137
PLXDC1	ENSG00000161381.13	4.05	10.594	-1.199	4.17E-41	-40.3798639450262
PGAP3	ENSG00000161395.12	30.475	27.255	0.156	5.09E-05	4.29328221766324
IKZF3	ENSG00000161405.16	0.56	0.54	0.019	0.931	0.031050319018657
GRIN2C	ENSG00000161509.13	0.08	0.28	-0.245	1.68E-18	-17.7746907182741
FDXR	ENSG00000161513.11	8.875	9.7	-0.116	0.131	-0.882728704344236
SAP30BP	ENSG00000161526.14	46.405	66.777	-0.516	3.49E-57	-56.4571745730408
PRPSAP1	ENSG00000161542.16	33.04	37.704	-0.185	0.000107	-3.97061622231479
SRSF2	ENSG00000161547.14	94.444	138.562	-0.548	1.79E-25	-24.7471469690201
ZNF577	ENSG00000161551.12	26.421	23.43	0.167	0.152	0.818156412055227
TMEM143	ENSG00000161558.10	3.015	6.385	-0.879	1.66E-74	-73.77989191196
KLHL10	ENSG00000161594.6	0.13	0.38	-0.288	4.39E-63	-62.3575354797579
ITGA5	ENSG00000161638.10	22.81	132.964	-2.492	6.66E-75	-74.1765257708297
SIGLEC11	ENSG00000161640.15	0.06	0.21	-0.191	1.17E-30	-29.9318141382538
ZNF385A	ENSG00000161642.17	23.295	32.71	-0.473	4.94E-13	-12.3062730510764
SIGLEC16	ENSG00000161643.12	0.11	0.285	-0.211	1.68E-42	-41.7746907182741
MPP3	ENSG00000161647.18	2.445	12.385	-1.958	7.54E-82	-81.1226286541302
IZUMO2	ENSG00000161652.12	0.05	0.12	-0.093	7.83E-07	-6.10623823794206
NAGS	ENSG00000161653.10	0.92	1.87	-0.58	4.85E-43	-42.3142582613977
LSM12	ENSG00000161654.9	26.115	19.67	0.392	2.6E-13	12.5850266520292
JOSD2	ENSG00000161677.11	23.686	33.386	-0.478	4.96E-17	-16.3045183235098
SHANK1	ENSG00000161681.15	0.18	0.49	-0.337	1.2E-28	-27.9208187539524
FAM171A2	ENSG00000161682.14	0.94	1.045	-0.076	0.555	-0.255707016877324
PLCD3	ENSG00000161714.11	10.925	25.485	-1.151	4.09E-46	-45.3882766919927
FMNL3	ENSG00000161791.13	2.44	4.705	-0.73	3.04E-25	-24.5171264163912
RACGAP1	ENSG00000161800.12	4.27	2.615	0.544	6.01E-13	12.2211255279973
LARP4	ENSG00000161813.20	9.6	10.92	-0.169	0.0296	-1.52870828894106
GRASP	ENSG00000161835.10	6.645	29.544	-1.998	6.05E-68	-67.2182446253475
RAVER1	ENSG00000161847.13	18.95	17.54	0.106	0.271	0.567030709125594
SYCE2	ENSG00000161860.7	0.62	1.065	-0.35	1.12E-11	-10.9507819773298
SPC24	ENSG00000161888.11	1.59	0.645	0.655	8.81E-29	28.055024091588
IP6K3	ENSG00000161896.10	0.48	3.825	-1.705	1.65E-74	-73.7825160557861
LEMD2	ENSG00000161904.11	35.809	54.324	-0.588	8.27E-28	-27.0824944904475
TREML1	ENSG00000161911.11	0.14	0.22	-0.098	2.34E-09	-8.63078414258986
ZNF653	ENSG00000161914.9	8.715	10.82	-0.283	7.38E-08	-7.13194363817696
MED11	ENSG00000161920.9	26.9	24.75	0.116	0.123	0.910094888560602
SCIMP	ENSG00000161929.14	0.86	0.93	-0.053	0.131	-0.882728704344236
RNASEK-C17orf49	ENSG00000161939.18	1.61	2.78	-0.534	3.53E-23	-22.4522252946122
TNFSF13	ENSG00000161955.16	24.755	25.245	-0.027	0.172	-0.764471553092451
SENP3	ENSG00000161956.12	41.02	44.41	-0.112	0.0022	-2.65757731917779
FGF11	ENSG00000161958.10	0.35	1.08	-0.624	1.8E-57	-56.7447274948967
RPL26	ENSG00000161970.12	2973.094	2032.302	0.549	3.25E-27	26.4881166390211
POLR3K	ENSG00000161980.5	15.885	9.41	0.698	2.77E-52	51.5575202309356
SNRNP25	ENSG00000161981.10	39.666	28.929	0.442	9.76E-27	26.0105501823333
WDR90	ENSG00000161996.17	14.595	38.769	-1.351	5.23E-21	-20.2814983111327
JMJD8	ENSG00000161999.11	71.466	69.509	0.039	0.128	0.892790030352132
SSTR5	ENSG00000162009.8	0.27	0.515	-0.254	5.41E-08	-7.26680273489343
SPSB3	ENSG00000162032.15	42.89	72.073	-0.735	1.32E-29	-28.8794260687941
MEIOB	ENSG00000162039.14	0.02	0.06	-0.055	2.59E-14	-13.5867002359187
HS3ST6	ENSG00000162040.6	0.07	0.28	-0.259	1.41E-21	-20.8507808873446
TBC1D24	ENSG00000162065.11	4.685	5.055	-0.091	0.0124	-1.90657831483776
NTN3	ENSG00000162068.1	0.02	0.04	-0.028	6.93E-09	-8.15926676538819
PAQR4	ENSG00000162073.13	18.61	10.894	0.721	5.37E-25	24.2700257143004
FLYWCH2	ENSG00000162076.12	49.304	35.614	0.458	2.38E-32	31.6234230429435
ZG16B	ENSG00000162078.11	183.297	114.344	0.676	1.44E-24	23.8416375079048
ZNF75A	ENSG00000162086.14	17.89	20.569	-0.191	3.75E-05	-4.42596873227228
SHANK2	ENSG00000162105.16	6.36	4.225	0.494	9.59E-10	9.01818139282934
NEU3	ENSG00000162139.9	5.655	5.7	-0.01	0.898	-0.046723663332696
PPP1R32	ENSG00000162148.10	1.95	4.384	-0.868	4.48E-36	-35.3487219860019
GNG3	ENSG00000162188.5	0.3	0.455	-0.163	1.16E-09	-8.93554201077308
UBXN1	ENSG00000162191.13	114.729	115.627	-0.011	0.0453	-1.34390179798717
LBHD1	ENSG00000162194.12	4.17	5.05	-0.227	1.22E-05	-4.91364016932525
TTC9C	ENSG00000162222.13	21.255	21.055	0.013	0.0591	1.22841251911874
TAF6L	ENSG00000162227.7	12.915	19.055	-0.527	3.35E-18	-17.4749551929632
NXF1	ENSG00000162231.13	60.26	126.93	-1.062	2.05E-37	-36.6882461389442
STX5	ENSG00000162236.11	56.775	48.374	0.227	7.44E-09	8.12842706445412
SLC25A45	ENSG00000162241.12	8.32	6.38	0.337	9.27E-13	12.0329202658555
RPL29	ENSG00000162244.10	2552.507	1320.299	0.951	1.26E-73	72.8996294548824
ITIH3	ENSG00000162267.12	0.465	1.385	-0.703	8.21E-34	-33.0856568428806
SYVN1	ENSG00000162298.16	51.87	41.34	0.32	6.02E-10	9.22040350874218
ZFPL1	ENSG00000162300.11	49.54	45.855	0.109	4.96E-05	4.3045183235098
RPS6KA4	ENSG00000162302.12	16.015	15.08	0.082	0.0171	1.76700388960785
LRP5	ENSG00000162337.11	34.835	30.845	0.17	1.81E-06	5.74232142513082
TPCN2	ENSG00000162341.15	4.83	12.23	-1.182	4.44E-73	-72.3526170298854
PDZK1IP1	ENSG00000162366.7	23.909	11.965	0.942	1.83E-10	9.73754891026957
TAL1	ENSG00000162367.11	0.48	1.88	-0.96	1.29E-77	-76.8894102897008
ZYG11B	ENSG00000162378.12	5.66	5.77	-0.024	0.014	-1.85387196432176
SLC1A7	ENSG00000162383.11	0.3	1.425	-0.899	7.36E-76	-75.1331221856625
MAGOH	ENSG00000162385.10	43.26	37.034	0.219	1.26E-09	8.89962945488244
FAM151A	ENSG00000162391.11	0	0.04	-0.057	4.71E-19	-18.3269790928711
PARS2	ENSG00000162396.5	3.63	2.68	0.331	1.73E-16	15.7619538968712
USP24	ENSG00000162402.12	7.98	12.265	-0.563	9.64E-28	-27.0159229660972
PPAP2B	ENSG00000162407.8	29.935	72.829	-1.255	4.23E-46	-45.373659632625
NOL9	ENSG00000162408.10	4.425	5.15	-0.181	6.38E-08	-7.19517932127884
PRKAA2	ENSG00000162409.10	2.345	2.24	0.046	0.249	0.603800652904264
KLHL21	ENSG00000162413.16	15.025	27.58	-0.835	3.49E-52	-51.4571745730408
ZSWIM5	ENSG00000162415.6	2.64	2.54	0.04	0.551	0.258848401148215
GMEB1	ENSG00000162419.12	4.305	3.585	0.21	0.00183	2.73754891026957
SLC45A1	ENSG00000162426.14	2.95	4.79	-0.552	7.06E-19	-18.1511952989482
SEPN1	ENSG00000162430.16	85.466	63.968	0.412	1.84E-19	18.7351821769905
JAK1	ENSG00000162434.11	23.955	32.336	-0.418	1.12E-12	-11.9507819773298
RAVER2	ENSG00000162437.14	6.405	8.77	-0.4	4.1E-21	-20.3872161432803
LZIC	ENSG00000162441.11	19.15	13.14	0.511	1.38E-14	13.8601209135988
RBP7	ENSG00000162444.11	13.585	16.265	-0.243	0.000394	-3.40450377817443
FBLIM1	ENSG00000162458.12	31.621	54.774	-0.774	7.71E-38	-37.112945621949
SLC25A34	ENSG00000162461.7	0.39	1.94	-1.081	2.13E-72	-71.6716203965613
PDPN	ENSG00000162493.16	5.13	13.25	-1.217	9.51E-46	-45.0218194830626
LRRC38	ENSG00000162494.5	0	0.02	-0.029	0.0278	-1.55595520408192
MATN1	ENSG00000162510.5	0.04	0.15	-0.145	4.86E-57	-56.3133637307377
LAPTM5	ENSG00000162511.7	28.884	27.92	0.047	0.685	0.164309428507574
SDC3	ENSG00000162512.15	19.085	30.119	-0.632	8.86E-22	-21.0525662781129
PEF1	ENSG00000162517.12	62.094	66.754	-0.103	3.94E-05	-4.40450377817443
SYNC	ENSG00000162520.14	1.895	3.295	-0.569	1.25E-16	-15.9030899869919
RBBP4	ENSG00000162521.18	90.23	49.734	0.847	5.99E-16	15.2225731776107
KIAA1522	ENSG00000162522.10	60.36	44.993	0.416	2.92E-16	15.5346171485516
TSSK3	ENSG00000162526.6	0.67	1.899	-0.796	2.04E-41	-40.6903698325741
TMCO4	ENSG00000162542.13	35.205	33.365	0.075	0.0105	1.97881070093006
UBXN10	ENSG00000162543.5	0.61	1.775	-0.785	1.56E-42	-41.8068754016455
WNT4	ENSG00000162552.14	2.725	4.265	-0.499	8.41E-12	-11.0752040042021
TTLL10	ENSG00000162571.13	0.12	0.32	-0.237	1.21E-08	-7.91721462968355
SCNN1D	ENSG00000162572.19	2.2	6.95	-1.313	1.36E-27	-26.8664610916298
MXRA8	ENSG00000162576.16	35.385	88.824	-1.304	4.24E-39	-38.3726341434073
FAAP20	ENSG00000162585.16	64.263	70.233	-0.126	0.0664	-1.17783192063198
MEGF6	ENSG00000162591.15	9.145	35.189	-1.835	8.8E-47	-46.0555173278498
IL23R	ENSG00000162594.14	0.01	0	0.014	0.238	0.623423042943488
NFIA	ENSG00000162599.15	10.065	12.46	-0.283	6.72E-08	-7.17263072694618
OMA1	ENSG00000162600.11	26.315	20.078	0.374	2.76E-16	15.5590909179348
MYSM1	ENSG00000162601.9	8.185	11.894	-0.489	4.42E-13	-12.3545777306509
TM2D1	ENSG00000162604.12	34.446	30.136	0.187	0.547	0.262012673666569
USP1	ENSG00000162607.12	12.29	10.58	0.199	0.142	0.847711655616943
FUBP1	ENSG00000162613.16	51.049	73.789	-0.523	7.7E-18	-17.1135092748275
NEXN	ENSG00000162614.18	11.505	29.624	-1.292	4.49E-32	-31.3477536589967
LRRIQ3	ENSG00000162620.15	0.38	0.24	0.154	1.22E-06	5.91364016932525
TYW3	ENSG00000162623.15	11.99	12.73	-0.08	0.0067	-2.17392519729917
SNX7	ENSG00000162627.16	6.91	12.41	-0.762	6.09E-34	-33.2153827073671
NTNG1	ENSG00000162631.18	1.935	2.92	-0.417	0.0111	-1.95467702121334
FAM102B	ENSG00000162636.15	3.37	4.67	-0.376	2.59E-11	-10.5867002359188
HENMT1	ENSG00000162639.15	5.8	3.065	0.742	4.14E-30	29.3829996588791
WDR63	ENSG00000162643.12	0.13	0.2	-0.087	0.0233	-1.63264407897398
GBP2	ENSG00000162645.12	28.195	65.231	-1.182	1.47E-36	-35.8326826652518
GBP4	ENSG00000162654.8	5.02	6.67	-0.349	0.000329	-3.48280410205003
ZNF326	ENSG00000162664.16	9.06	11.57	-0.321	2.56E-11	-10.5917600346882
HFM1	ENSG00000162669.15	0.16	0.66	-0.517	2.67E-54	-53.5734887386354
GFI1	ENSG00000162676.11	0.55	0.685	-0.12	0.00772	-2.11238269966426
KCNT2	ENSG00000162687.16	0.16	0.715	-0.564	1.68E-58	-57.7746907182741
VCAM1	ENSG00000162692.10	4.16	4.34	-0.049	0.261	-0.583359492661719
EXTL2	ENSG00000162694.13	9.25	10.075	-0.112	0.0205	-1.68824613894425
SLC30A7	ENSG00000162695.11	7.05	6.035	0.194	0.0015	2.82390874094432
ZNF281	ENSG00000162702.7	3.745	2.635	0.384	8.52E-08	7.0695604052333
NLRP3	ENSG00000162711.16	0.715	0.795	-0.066	0.0567	-1.24641694110709
ZNF496	ENSG00000162714.12	9.585	13.405	-0.445	3.66E-16	-15.4365189146056
TRIM58	ENSG00000162722.8	0.59	0.29	0.302	1.32E-07	6.87942606879415
SLAMF9	ENSG00000162723.9	0.285	0.195	0.105	0.000605	3.21824462534753
KCNJ9	ENSG00000162728.4	0.01	0.02	-0.014	5.63E-10	-9.24949160514865
IGSF8	ENSG00000162729.13	54.57	30.359	0.825	2.75E-58	57.5606673061697
PEA15	ENSG00000162734.12	102.746	110.327	-0.102	2.13E-06	-5.67162039656126
PEX19	ENSG00000162735.18	33.89	32.42	0.062	0.0168	1.77469071827414
NCSTN	ENSG00000162736.15	76.346	58.314	0.383	9.59E-09	8.01818139282934
VANGL2	ENSG00000162738.5	5.785	10.44	-0.754	2.33E-24	-23.632644078974
SLAMF6	ENSG00000162739.13	0.6	0.74	-0.121	0.0306	-1.51427857351842
OLFML2B	ENSG00000162745.10	3.135	4.505	-0.413	3.39E-08	-7.46980030179692
FCRLB	ENSG00000162746.14	0.235	0.44	-0.222	1.04E-29	-28.9829666607012
FCGR3B	ENSG00000162747.9	0.23	0.595	-0.375	1.91E-16	-15.7189666327523
SLC9C2	ENSG00000162753.11	0	0.01	-0.014	1.11E-09	-8.95467702121334
KLHDC9	ENSG00000162755.13	19.345	17.645	0.126	1.1E-06	5.95860731484177
FLVCR1	ENSG00000162769.12	4.81	3.32	0.427	2.68E-16	15.5718652059712
RBM15	ENSG00000162775.14	2.26	1.895	0.171	1.56E-05	4.80687540164554
TDRD5	ENSG00000162782.15	0.5	0.45	0.049	0.503	0.298432014944073
IER5	ENSG00000162783.10	3.05	5.025	-0.573	2.19E-21	-20.6595558851599
SNED1	ENSG00000162804.13	4.785	12.895	-1.264	4.89E-50	-49.3106911408764
SPATA17	ENSG00000162814.10	2.585	1.105	0.768	4.2E-37	36.3767507096021
NBPF20	ENSG00000162825.16	1.065	1.18	-0.078	0.18	-0.744727494896694
WDR64	ENSG00000162843.17	0.01	0.02	-0.014	2.34E-05	-4.63078414258986
KIF26B	ENSG00000162849.15	0.335	0.725	-0.37	1.74E-17	-16.7594507517174
TFB2M	ENSG00000162851.7	12.06	7.25	0.663	8.11E-27	26.0909791457888
PPP1R21	ENSG00000162869.15	18.555	20.065	-0.107	0.0168	-1.77469071827414
KLHDC8A	ENSG00000162873.14	0.16	0.28	-0.142	1.32E-15	-14.8794260687942
PM20D1	ENSG00000162877.12	0.05	0.17	-0.156	1.08E-37	-36.966576244513
PKDCC	ENSG00000162878.12	11.825	33.675	-1.435	2.23E-33	-32.6516951369518
OXER1	ENSG00000162881.6	0.925	4.185	-1.429	1.45E-81	-80.838631997765
HAAO	ENSG00000162882.14	5.5	17.674	-1.523	9.02E-57	-56.0447934624581
MAPKAPK2	ENSG00000162889.10	29.726	40.009	-0.416	3.39E-22	-21.4698003017969
IL20	ENSG00000162891.10	0.03	0.04	-0.014	8.04E-06	-5.09474395125155
IL24	ENSG00000162892.15	0.45	0.57	-0.115	1.69E-05	-4.77211329538633
FCMR	ENSG00000162894.11	3.12	4.005	-0.281	0.000207	-3.68402965454308
PIGR	ENSG00000162896.5	13.45	5.425	1.169	0.000285	3.54515513999149
MRPL55	ENSG00000162910.18	77.611	76.765	0.016	0.481	0.317854923626168
WDR26	ENSG00000162923.14	24.944	28.1	-0.166	0.000109	-3.96257350205938
REL	ENSG00000162924.13	1.235	1.655	-0.248	5.05E-07	-6.29670862188134
PUS10	ENSG00000162927.13	3.86	3.31	0.173	0.0113	1.94692155651658
PEX13	ENSG00000162928.8	15.855	10.85	0.508	6.49E-08	7.18775530319963
KIAA1841	ENSG00000162929.13	4.165	5.21	-0.266	7.8E-05	-4.10790539730952
TRIM17	ENSG00000162931.11	0.42	2.425	-1.27	6.91E-65	-64.1605219526258
RFTN2	ENSG00000162944.10	0.79	1.52	-0.493	1.65E-28	-27.7825160557861
LRRTM1	ENSG00000162951.10	0.11	0.53	-0.463	1.75E-54	-53.7569619513137
MEMO1	ENSG00000162959.13	21.595	19.015	0.175	1.46E-05	4.83564714421556
TYW5	ENSG00000162971.10	2.76	4.12	-0.445	4.54E-22	-21.3429441471429
KCNF1	ENSG00000162975.4	0.08	0.21	-0.164	1.07E-26	-25.9706162223148
PQLC3	ENSG00000162976.12	14.435	14.825	-0.036	0.00623	-2.20551195334083
FAM84A	ENSG00000162981.13	24.506	16.605	0.535	4.08E-10	9.38933983691012
KCNJ3	ENSG00000162989.4	0.34	1.355	-0.814	2.56E-17	-16.5917600346882
PRORSD1P	ENSG00000162997.15	1.52	2.555	-0.496	1.04E-20	-19.9829666607012
FRZB	ENSG00000162998.4	4.94	6.014	-0.24	0.000579	-3.23732143627256
NUP35	ENSG00000163002.12	8.48	7.885	0.094	0.178	0.749579997691106
FBXO41	ENSG00000163013.11	1.535	2.43	-0.436	1.92E-11	-10.7166987712965
SMC6	ENSG00000163029.15	4.155	7.085	-0.649	2.69E-32	-31.5702477199976
VSNL1	ENSG00000163032.11	0.88	2.63	-0.949	6.73E-21	-20.171984935776
H3F3A	ENSG00000163041.9	703.106	379.761	0.887	1.67E-47	46.7772835288524
SLC16A14	ENSG00000163053.10	2.62	3.005	-0.146	0.06	-1.22184874961636
TEKT4	ENSG00000163060.7	0.16	0.08	0.103	8.1E-08	7.09151498112135
SGCB	ENSG00000163069.12	8.4	14.375	-0.71	1.36E-32	-31.8664610916298
SPATA18	ENSG00000163071.10	1.65	4.484	-1.049	2.65E-39	-38.5767541260632
NOSTRIN	ENSG00000163072.14	8.245	21.579	-1.288	5.45E-39	-38.2636034977234
SGPP2	ENSG00000163082.9	1.265	1.075	0.126	0.912	0.040005161671584
INHBB	ENSG00000163083.5	13.91	7.89	0.746	7.56E-18	17.1214782044988
XIRP2	ENSG00000163092.19	0	0.04	-0.057	0.131	-0.882728704344236
SMARCAD1	ENSG00000163104.17	7.5	9.54	-0.31	2.07E-07	-6.68402965454308
HPGDS	ENSG00000163106.10	1.23	2.425	-0.619	3.09E-21	-20.5100415205752
PDLIM5	ENSG00000163110.14	229.778	56.31	2.01	3.81E-56	55.4190750243244
STPG2	ENSG00000163116.9	0.05	0.095	-0.061	6.9E-17	-16.1611509092627
NEURL3	ENSG00000163121.9	1.14	2.85	-0.847	4.11E-22	-21.3861581781239
RPRD2	ENSG00000163125.15	11.28	10.745	0.064	0.334	0.476253533188435
MSX1	ENSG00000163132.6	2.33	3.28	-0.362	7.96E-06	-5.09908693226233
PACRGL	ENSG00000163138.18	8.505	10.885	-0.322	1.33E-16	-15.8761483590329
TNFAIP8L2	ENSG00000163154.5	1.6	1.94	-0.177	0.0336	-1.47366072261016
LYSMD1	ENSG00000163155.11	4.46	5.505	-0.253	4.47E-11	-10.3496924768681
SCNM1	ENSG00000163156.11	29.585	38.45	-0.367	1.79E-22	-21.7471469690201
TMOD4	ENSG00000163157.14	0.31	0.38	-0.075	0.0474	-1.32422165832592
VPS72	ENSG00000163159.11	42.945	32.375	0.397	6.17E-23	22.2097148359668
ERCC3	ENSG00000163161.12	24.439	38.94	-0.651	5.43E-30	-29.2652001704112
RNF149	ENSG00000163162.8	26.616	26.96	-0.018	0.0664	-1.17783192063198
IWS1	ENSG00000163166.13	21.465	22.145	-0.043	0.00519	-2.28483264215154
S100A11	ENSG00000163191.5	547.341	564.859	-0.045	0.696	-0.157390760389438
IVL	ENSG00000163207.6	0.02	0.11	-0.122	2.83E-11	-10.5482135644757
SPRR3	ENSG00000163209.14	0	1.545	-1.348	9.68E-70	-69.0141246426916
SPRR2D	ENSG00000163216.6	0	0.105	-0.144	1.94E-25	-24.7121982700698
PGLYRP4	ENSG00000163218.14	0.01	0.03	-0.028	0.000337	-3.47237009912866
S100A9	ENSG00000163220.10	10.455	38.01	-1.768	2.69E-30	-29.5702477199976
S100A12	ENSG00000163221.8	0.17	1.075	-0.827	1.01E-48	-47.9956786262174
TGFA	ENSG00000163235.15	1.535	1.315	0.131	0.855	0.068033885271827
TDRD10	ENSG00000163239.12	0.35	3.027	-1.577	5.06E-90	-89.2958494831602
FZD5	ENSG00000163251.3	8.54	5.565	0.539	8.96E-10	9.04769199033787
NPPC	ENSG00000163273.3	0.425	1.6	-0.868	5.99E-12	-11.2225731776107
GNPDA2	ENSG00000163281.11	10.95	10.22	0.091	0.831	0.080398976215889
GABRG1	ENSG00000163285.7	0	0.01	-0.014	0.985	-0.006563769502388
PAQR3	ENSG00000163291.14	4.79	6.105	-0.295	1.69E-11	-10.7721132953863
NIPAL1	ENSG00000163293.11	2.77	1.495	0.596	3.96E-16	15.4023048140745
HELQ	ENSG00000163312.10	6.02	7.08	-0.203	2.83E-09	-8.54821356447571
MRPS18C	ENSG00000163319.10	24.886	20.14	0.292	7.11E-20	19.1481303992702
FAM175A	ENSG00000163322.13	3.65	3.685	-0.011	0.05	-1.30102999566398
GPR155	ENSG00000163328.13	3.13	3.665	-0.176	5.24E-06	-5.28066871301627
PMVK	ENSG00000163344.5	55.79	35.605	0.634	4.92E-45	44.3080348972326
PBXIP1	ENSG00000163346.16	67.66	74.663	-0.14	8.34E-05	-4.07883394936226
PYGO2	ENSG00000163348.3	28.859	25.55	0.169	8.67E-06	5.06198090252379
HIPK1	ENSG00000163349.21	12.54	13.555	-0.104	0.00162	-2.79048498545737
LENEP	ENSG00000163352.5	0.16	0.13	0.038	0.0132	1.87942606879415
LINC01116	ENSG00000163364.9	0.35	0.895	-0.489	3.47E-33	-32.4596705252091
YY1AP1	ENSG00000163374.19	39.675	56.104	-0.489	2.63E-32	-31.5800442515102
KBTBD8	ENSG00000163376.11	0.29	0.27	0.023	0.262	0.581698708680255
FAM19A4	ENSG00000163377.14	0.58	0.395	0.18	0.00471	2.3269790928711
EOGT	ENSG00000163378.13	10.375	27.584	-1.329	3.21E-78	-77.4934949675951
LMOD3	ENSG00000163380.15	0.05	0.16	-0.144	0.000798	-3.09799710864927
POGLUT1	ENSG00000163389.10	5.055	6.95	-0.393	7.28E-21	-20.137868620687
SLC22A15	ENSG00000163393.12	0.86	1.675	-0.524	4.49E-22	-21.3477536589967
IGFN1	ENSG00000163395.16	0.17	0.365	-0.222	1.75E-12	-11.7569619513137
SLC15A2	ENSG00000163406.10	14.425	18.012	-0.302	0.0892	-1.04963514562388
PROK2	ENSG00000163421.8	0.02	0.11	-0.122	1.21E-27	-26.9172146296835
LRRC58	ENSG00000163428.3	8.8	5.98	0.49	1.81E-10	9.74232142513081
FSTL1	ENSG00000163430.9	126.948	125.892	0.012	0.835	0.078313524516398
LMOD1	ENSG00000163431.12	41.648	127.68	-1.593	7.28E-43	-42.137868620687
TMEM183A	ENSG00000163444.11	37.994	34.105	0.152	0.000166	3.77989191195994
TMEM169	ENSG00000163449.10	0.12	0.24	-0.147	1.29E-22	-21.8894102897007
IGFBP7	ENSG00000163453.11	270.586	460.624	-0.765	1.43E-19	-18.8446639625349
TRIM46	ENSG00000163462.17	0.64	1.05	-0.322	3.55E-10	-9.44977164694491
KRTCAP2	ENSG00000163463.11	230.096	181.094	0.344	2.09E-23	22.6798537138889
TSACC	ENSG00000163467.11	1.31	0.57	0.557	2.73E-33	32.5638373529592
TMEM79	ENSG00000163472.18	41.025	33.925	0.267	0.000258	3.58838029403677
SSR2	ENSG00000163479.13	391.521	201.313	0.956	4.63E-79	78.3344190089821
RNF25	ENSG00000163481.7	24.545	26.805	-0.122	0.00666	-2.1765257708297
STK36	ENSG00000163482.11	15.41	47.356	-1.559	2.38E-36	-35.6234230429435
NEK10	ENSG00000163491.16	0.75	1.38	-0.444	2.79E-18	-17.5543957967264
FEV	ENSG00000163497.2	17.765	3.95	1.923	2.91E-40	39.5361070110141
IHH	ENSG00000163501.6	3.83	1.96	0.706	1.93E-09	8.71444269099223
KIAA1524	ENSG00000163507.13	1.245	1.295	-0.032	0.636	-0.196542884351586
EOMES	ENSG00000163508.12	0.225	0.24	-0.018	0.736	-0.133122185662501
TGFBR2	ENSG00000163513.17	16.1	35.69	-1.101	2.15E-37	-36.6675615400844
HDAC11	ENSG00000163517.14	15.46	16.18	-0.062	0.216	-0.665546248849069
TRAT1	ENSG00000163519.13	0.25	0.215	0.041	0.714	0.146301788223826
FBLN2	ENSG00000163520.13	10.865	20.632	-0.866	7.84E-15	-14.1056839373156
GLB1L	ENSG00000163521.15	7.535	6.745	0.14	0.168	0.774690718274137
STT3B	ENSG00000163527.9	54.615	38.125	0.507	2.3E-06	5.63827216398241
NFASC	ENSG00000163531.15	3.03	15.57	-2.04	4.88E-76	-75.3115801779973
FCRL1	ENSG00000163534.14	0.06	0.115	-0.073	0.000248	-3.60554831917378
SGOL2	ENSG00000163535.17	1.06	0.6	0.365	5.78E-18	17.2380721615795
SERPINI1	ENSG00000163536.12	7.19	5.465	0.341	9.36E-07	6.0287241512619
SUCLG1	ENSG00000163541.11	63.225	62.404	0.019	0.372	0.429457060118102
NUAK2	ENSG00000163545.8	2.2	1.85	0.167	0.00019	3.72124639904717
SPTA1	ENSG00000163554.11	0	0.02	-0.029	2.86E-09	-8.54363396687096
PRKCI	ENSG00000163558.12	18.655	14.625	0.331	9.36E-07	6.0287241512619
MNDA	ENSG00000163563.7	1.79	1.77	0.01	0.23	0.638272163982407
PYHIN1	ENSG00000163564.14	0.38	0.74	-0.334	4.37E-13	-12.3595185630296
IFI16	ENSG00000163565.18	16.345	39.802	-1.234	1.08E-47	-46.9665762445131
RPL22L1	ENSG00000163584.17	112.43	53.701	1.052	5.39E-50	49.2684112348133
FABP1	ENSG00000163586.9	0	0.275	-0.35	3.75E-23	-22.4259687322723
PPM1L	ENSG00000163590.13	1.93	2.59	-0.293	9.63E-14	-13.0163737128755
ICA1L	ENSG00000163596.16	2.285	6.995	-1.283	1.72E-91	-90.7644715530924
SNHG16	ENSG00000163597.14	51.861	31.455	0.704	4.43E-49	48.3535962737769
ICOS	ENSG00000163600.12	0.17	0.12	0.063	0.0477	1.32148162095989
RYBP	ENSG00000163602.9	12.62	9.255	0.409	2.81E-08	7.55129368009492
