Gene	Gistic(Q-value)	Cytoband	CNA	#	Freq CNA	Is Cancer Gene CN(source: OncoKB)
RN7SKP296		3q28	AMP	4	0.8%	No
RN7SL34P		19q13.2	HOMDEL	4	0.8%	No
RN7SL222P		11q22.1	HOMDEL	4	0.8%	No
RN7SL252P	1.271e-2	7q21.3	AMP	4	0.8%	No
RN7SL666P	7.085e-2	20q13.11	AMP	4	0.8%	No
RN7SL845P		7q36.1	HOMDEL	4	0.8%	No
RN7SL869P		7q21.11	AMP	4	0.8%	No
RN7SKP47		9q21.13	HOMDEL	4	0.8%	No
RN7SL731P		1p36.22	HOMDEL	4	0.8%	No
RN7SKP54	1.271e-2	7q22.1	AMP	4	0.8%	No
RN7SL796P		15q13.2	AMP	4	0.8%	No
RN7SL825P		10p11.22	HOMDEL	4	0.8%	No
SERPINA3		14q32.13	AMP	3	0.6%	No
AAMP		2q35	AMP	3	0.6%	No
ABCB7		Xq13.3	HOMDEL	3	0.6%	No
ABL1		9q34.12	HOMDEL	3	0.6%	Yes
AOC1		7q36.1	HOMDEL	3	0.6%	No
AOC1		7q36.1	AMP	3	0.6%	No
ACO2		22q13.2	HOMDEL	3	0.6%	No
ACTN4		19q13.2	HOMDEL	3	0.6%	No
ACTN4		19q13.2	AMP	3	0.6%	No
ACTN1		14q24.1|14q22-q24	HOMDEL	3	0.6%	No
ACYP2		2p16.2	HOMDEL	3	0.6%	No
ACYP2		2p16.2	AMP	3	0.6%	No
ADCY2		5p15.31	HOMDEL	3	0.6%	No
ADCY5		3q21.1	HOMDEL	3	0.6%	No
ADCY8		8q24.22	HOMDEL	3	0.6%	No
ADCYAP1		18p11.32	HOMDEL	3	0.6%	No
ADH1A		4q23	HOMDEL	3	0.6%	No
ADH1B		4q23	HOMDEL	3	0.6%	No
ADH1C		4q23	HOMDEL	3	0.6%	No
ADH4		4q23	HOMDEL	3	0.6%	No
ADH5		4q23	HOMDEL	3	0.6%	No
ADH6		4q23	HOMDEL	3	0.6%	No
ADH7		4q23	HOMDEL	3	0.6%	No
ADORA2A		22q11.23	HOMDEL	3	0.6%	No
ADRA1D		20p13	HOMDEL	3	0.6%	No
ADRA2B		2q11.2	AMP	3	0.6%	No
ADRA2C		4p16.3	AMP	3	0.6%	No
ADRB2		5q32	HOMDEL	3	0.6%	No
AP2A1		19q13.33	HOMDEL	3	0.6%	No
AP2B1		17q12	HOMDEL	3	0.6%	No
CRISP1		6p12.3	HOMDEL	3	0.6%	No
AFP		4q13.3	AMP	3	0.6%	No
JAG1		20p12.2	HOMDEL	3	0.6%	No
NR0B1		Xp21.2	AMP	3	0.6%	No
AHCY		20q11.22	HOMDEL	3	0.6%	No
AHR		7p21.1	HOMDEL	3	0.6%	No
AKT1		14q32.33	HOMDEL	3	0.6%	Yes
AKT2		19q13.2	HOMDEL	3	0.6%	Yes
ALB		4q13.3	AMP	3	0.6%	Yes
ALDH1A1		9q21.13	HOMDEL	3	0.6%	No
ALPI		2q37.1	HOMDEL	3	0.6%	No
ALPP		2q37.1	HOMDEL	3	0.6%	No
ALPG		2q37.1	HOMDEL	3	0.6%	No
AMBN		4q13.3	HOMDEL	3	0.6%	No
AMH		19p13.3	HOMDEL	3	0.6%	No
AMPD1		1p13.2	HOMDEL	3	0.6%	No
AMPH	2.772e-2	7p14.1	AMP	3	0.6%	No
AMT		3p21.31	HOMDEL	3	0.6%	No
SLC25A6		Xp22.33 and Yp11.2	AMP	3	0.6%	No
ANXA1		9q21.13	HOMDEL	3	0.6%	No
ANXA4		2p13.3	HOMDEL	3	0.6%	No
AOAH	2.772e-2	7p14.2	AMP	3	0.6%	No
AOX1		2q33.1	AMP	3	0.6%	No
APAF1		12q23.1	HOMDEL	3	0.6%	No
APEH		3p21.31	HOMDEL	3	0.6%	No
APEX1		14q11.2	HOMDEL	3	0.6%	No
APP		21q21.3	HOMDEL	3	0.6%	No
ARF6		14q21.3	AMP	3	0.6%	No
RHOA		3p21.31	HOMDEL	3	0.6%	Yes
RHOC		1p13.2	HOMDEL	3	0.6%	No
ARRB1		11q13.4	AMP	3	0.6%	No
ARSD		Xp22.33	AMP	3	0.6%	No
ARSE		Xp22.33	AMP	3	0.6%	No
ARSF		Xp22.33	AMP	3	0.6%	No
ASIP		20q11.22	HOMDEL	3	0.6%	No
ASMT		Xp22.33 and Yp11.2	AMP	3	0.6%	No
ASNA1		19p13.13	HOMDEL	3	0.6%	No
ATF1		12q13.12	AMP	3	0.6%	Yes
ATIC		2q35	HOMDEL	3	0.6%	Yes
ATP1A1		1p13.1	HOMDEL	3	0.6%	Yes
ATP2B3		Xq28	AMP	3	0.6%	Yes
ATP4A		19q13.12	AMP	3	0.6%	No
ATP5ME		4p16.3	HOMDEL	3	0.6%	No
ATP6V1A		3q13.31	HOMDEL	3	0.6%	No
ATP6V1E1		22q11.21	HOMDEL	3	0.6%	No
KIF1A		2q37.3	HOMDEL	3	0.6%	No
AZGP1	1.271e-2	7q22.1	AMP	3	0.6%	No
BACH1		21q21.3	HOMDEL	3	0.6%	No
ADGRB1		8q24.3	HOMDEL	3	0.6%	No
ADGRB2		1p35.2	AMP	3	0.6%	No
BCAT1		12p12.1	HOMDEL	3	0.6%	No
BCHE		3q26.1	HOMDEL	3	0.6%	No
BCL2L1		20q11.21	AMP	3	0.6%	Yes
BCS1L		2q35	HOMDEL	3	0.6%	No
BCYRN1		2p21	HOMDEL	3	0.6%	No
BGLAP		1q22	AMP	3	0.6%	No
BGN		Xq28	AMP	3	0.6%	No
CXCR5		11q23.3	AMP	3	0.6%	No
BLVRB		19q13.2	HOMDEL	3	0.6%	No
BMP2		20p12.3	HOMDEL	3	0.6%	No
BMP2		20p12.3	AMP	3	0.6%	No
BMP5		6p12.1	HOMDEL	3	0.6%	No
BMP7		20q13.31	HOMDEL	3	0.6%	No
BOK		2q37.3	HOMDEL	3	0.6%	No
BRCA1		17q21.31	AMP	3	0.6%	Yes
BTN1A1		6p22.2	HOMDEL	3	0.6%	No
SERPING1		11q12.1	HOMDEL	3	0.6%	No
C1QA		1p36.12	HOMDEL	3	0.6%	No
C1QB		1p36.12	HOMDEL	3	0.6%	No
C1QC		1p36.12	HOMDEL	3	0.6%	No
CAPN5		11q13.5	AMP	3	0.6%	No
OSGIN2		8q21.3	HOMDEL	3	0.6%	No
CA9		9p13.3	AMP	3	0.6%	No
CACNA1F		Xp11.23	AMP	3	0.6%	No
CACNB2		10p12.33-p12.31	HOMDEL	3	0.6%	No
SLC25A20		3p21.31	HOMDEL	3	0.6%	No
S100G		Xp22.2	HOMDEL	3	0.6%	No
CALM2		2p21	HOMDEL	3	0.6%	No
CALR		19p13.13	HOMDEL	3	0.6%	Yes
CAPZA1		1p13.2	HOMDEL	3	0.6%	No
CASP2		7q34	AMP	3	0.6%	No
CASQ2		1p13.1	HOMDEL	3	0.6%	No
RUNX2		6p21.1	HOMDEL	3	0.6%	Yes
RUNX1		21q22.12	HOMDEL	3	0.6%	Yes
SERPINA6		14q32.13	AMP	3	0.6%	No
CBL		11q23.3	AMP	3	0.6%	Yes
SERPINH1		11q13.5	AMP	3	0.6%	No
CCNG1		5q34	HOMDEL	3	0.6%	No
CCNG1	1.645e-1	5q34	AMP	3	0.6%	No
CD8B2		2q12.2	HOMDEL	3	0.6%	No
MS4A1		11q12.2	HOMDEL	3	0.6%	No
MS4A3		11q12.1	HOMDEL	3	0.6%	No
CD22		19q13.12	AMP	3	0.6%	Yes
CD28		2q33.2	HOMDEL	3	0.6%	Yes
CD80		3q13.33	HOMDEL	3	0.6%	No
CD80		3q13.33	AMP	3	0.6%	No
TNFRSF8		1p36.22	HOMDEL	3	0.6%	No
CD34		1q32.2	HOMDEL	3	0.6%	No
CD36		7q21.11	AMP	3	0.6%	Yes
CD37		19q13.33	HOMDEL	3	0.6%	No
ENTPD6		20p11.21	AMP	3	0.6%	No
CD40LG		Xq26.3	AMP	3	0.6%	No
CD47		3q13.12	HOMDEL	3	0.6%	No
CD72		9p13.3	AMP	3	0.6%	No
CD79A		19q13.2	HOMDEL	3	0.6%	Yes
LRBA		4q31.3	AMP	3	0.6%	No
CDC5L		6p21.1	HOMDEL	3	0.6%	No
CDC6		17q21.2	HOMDEL	3	0.6%	No
CDC25C		5q31.2	HOMDEL	3	0.6%	No
CDH4	7.085e-2	20q13.33	AMP	3	0.6%	No
CDH6		5p13.3	AMP	3	0.6%	No
CDH9		5p14.1	AMP	3	0.6%	No
CDK3		17q25.1	HOMDEL	3	0.6%	No
CDK5		7q36.1	HOMDEL	3	0.6%	No
CDK5		7q36.1	AMP	3	0.6%	No
CDR2		16p12.2	AMP	3	0.6%	No
CDX2		13q12.2	AMP	3	0.6%	Yes
CEACAM5		19q13.2	HOMDEL	3	0.6%	No
CENPB		20p13	HOMDEL	3	0.6%	No
CETN1		18p11.32	HOMDEL	3	0.6%	No
CETN2		Xq28	AMP	3	0.6%	No
CFL2		14q13.1	AMP	3	0.6%	No
CFTR		7q31.2	AMP	3	0.6%	No
CEACAM3		19q13.2	HOMDEL	3	0.6%	No
RCC1		1p35.3	HOMDEL	3	0.6%	No
CHGB		20p12.3	HOMDEL	3	0.6%	No
CHI3L2		1p13.2	HOMDEL	3	0.6%	No
CHKA		11q13.2	HOMDEL	3	0.6%	No
CHRM1		11q12.3	HOMDEL	3	0.6%	No
CHRNA4	7.085e-2	20q13.33	AMP	3	0.6%	No
CHRNA7		15q13.3	AMP	3	0.6%	No
CHRND		2q37.1	HOMDEL	3	0.6%	No
CHRNG		2q37.1	HOMDEL	3	0.6%	No
CHUK		10q24.31	AMP	3	0.6%	No
CKB		14q32.33	AMP	3	0.6%	No
ERCC8		5q12.1	AMP	3	0.6%	No
AP1S1		7q22.1	HOMDEL	3	0.6%	No
AP1S1	1.271e-2	7q22.1	AMP	3	0.6%	No
CLC		19q13.2	HOMDEL	3	0.6%	No
CLCN1		7q34	AMP	3	0.6%	No
CLCN3		4q33	AMP	3	0.6%	No
CLCN7		16p13.3	HOMDEL	3	0.6%	No
CLTB	1.645e-1	5q35.2	AMP	3	0.6%	No
CLTC		17q23.1	AMP	3	0.6%	Yes
CCR1		3p21.31	HOMDEL	3	0.6%	No
CCR3		3p21.31	HOMDEL	3	0.6%	No
ABCC2		10q24.2	AMP	3	0.6%	No
CNTF		11q12.1	HOMDEL	3	0.6%	No
CNTFR		9p13.3	AMP	3	0.6%	No
CNTN1		12q12	HOMDEL	3	0.6%	No
CNTN1		12q12	AMP	3	0.6%	No
COL5A2		2q32.2	HOMDEL	3	0.6%	No
COL8A1		3q12.1	AMP	3	0.6%	No
COL9A3	7.085e-2	20q13.33	AMP	3	0.6%	No
COL16A1		1p35.2	AMP	3	0.6%	No
MAP3K8		10p11.23	HOMDEL	3	0.6%	No
COX5B		2q11.2	AMP	3	0.6%	No
COX6A2		16p11.2	HOMDEL	3	0.6%	No
COX6B1		19q13.12	AMP	3	0.6%	No
CPN1		10q24.2	AMP	3	0.6%	No
CPOX		3q11.2	AMP	3	0.6%	No
CRIP1		14q32.33	HOMDEL	3	0.6%	No
CRIP2		14q32.33	HOMDEL	3	0.6%	No
CRMP1		4p16.2	AMP	3	0.6%	No
CRYBA1		17q11.2	AMP	3	0.6%	No
CRYBA2		2q35	HOMDEL	3	0.6%	No
CRYGA		2q33.3	HOMDEL	3	0.6%	No
CRYGB		2q33.3	HOMDEL	3	0.6%	No
CRYM		16p12.2	AMP	3	0.6%	No
CSF1R	1.645e-1	5q32	AMP	3	0.6%	Yes
CSF2RA		Xp22.33 and Yp11.2	AMP	3	0.6%	No
CSN3		4q13.3	HOMDEL	3	0.6%	No
CSNK1A1	1.645e-1	5q32	AMP	3	0.6%	No
CSNK1G2		19p13.3	HOMDEL	3	0.6%	No
CSNK2A1		20p13	HOMDEL	3	0.6%	No
VCAN		5q14.2-q14.3	AMP	3	0.6%	No
CSTA		3q21.1	HOMDEL	3	0.6%	No
CSTF1	7.085e-2	20q13.2-q13.31	AMP	3	0.6%	No
CTBP1		4p16.3	HOMDEL	3	0.6%	No
CTF1		16p11.2	HOMDEL	3	0.6%	No
CTLA4		2q33.2	HOMDEL	3	0.6%	Yes
CTNNA1	1.645e-1	5q31.2	AMP	3	0.6%	Yes
CTNNA2		2p12	AMP	3	0.6%	No
CTNND2		5p15.2	AMP	3	0.6%	No
CYC1		8q24.3	HOMDEL	3	0.6%	No
CYP3A7	1.271e-2	7q22.1	AMP	3	0.6%	No
CYP2D7		22q13.2	HOMDEL	3	0.6%	No
CYP2D6		22q13.2	HOMDEL	3	0.6%	No
CYP3A4	1.271e-2	7q22.1	AMP	3	0.6%	No
CYP11B1		8q24.3	HOMDEL	3	0.6%	No
CYP11B2		8q24.3	HOMDEL	3	0.6%	No
CYP24A1	7.085e-2	20q13.2	AMP	3	0.6%	No
CYP26A1		10q23.33	AMP	3	0.6%	No
DAD1		14q11.2	HOMDEL	3	0.6%	No
DAG1		3p21.31	HOMDEL	3	0.6%	No
DGKQ		4p16.3	HOMDEL	3	0.6%	No
DAP		5p15.2	AMP	3	0.6%	No
DAPK1		9q21.33	HOMDEL	3	0.6%	No
DAPK3		19p13.3	HOMDEL	3	0.6%	No
DDB1		11q12.2	HOMDEL	3	0.6%	No
DDIT3		12q13.3	HOMDEL	3	0.6%	Yes
DDT		22q11.23	HOMDEL	3	0.6%	No
DDX10		11q22.3	AMP	3	0.6%	Yes
DECR1		8q21.3	HOMDEL	3	0.6%	No
DES		2q35	HOMDEL	3	0.6%	No
DFFB		1p36.32	AMP	3	0.6%	No
DHCR7		11q13.4	HOMDEL	3	0.6%	No
DHCR7		11q13.4	AMP	3	0.6%	No
DHPS		19p13.13	HOMDEL	3	0.6%	No
CYB5R3		22q13.2	HOMDEL	3	0.6%	No
DIAPH1		5q31.3	HOMDEL	3	0.6%	No
DIAPH2		Xq21.33	AMP	3	0.6%	No
DIO3		14q32.31	AMP	3	0.6%	No
DLD		7q31.1	HOMDEL	3	0.6%	No
DMD		Xp21.2-p21.1	AMP	3	0.6%	No
DMP1		4q22.1	HOMDEL	3	0.6%	No
DNA2		10q21.3	HOMDEL	3	0.6%	No
DNA2		10q21.3	AMP	3	0.6%	No
DNAH5		5p15.2	HOMDEL	3	0.6%	No
DNAH5		5p15.2	AMP	3	0.6%	No
DNAH6		2p11.2	AMP	3	0.6%	No
DNASE1L3		3p14.3	HOMDEL	3	0.6%	No
DNASE2		19p13.13	HOMDEL	3	0.6%	No
TRDMT1		10p13	AMP	3	0.6%	No
DNMT3B		20q11.21	HOMDEL	3	0.6%	Yes
DOCK2		5q35.1	HOMDEL	3	0.6%	No
DPAGT1		11q23.3	AMP	3	0.6%	No
SLC26A3		7q22.3-q31.1	HOMDEL	3	0.6%	No
DRD1	1.645e-1	5q35.2	AMP	3	0.6%	No
DRD3		3q13.31	HOMDEL	3	0.6%	No
DSC2		18q12.1	HOMDEL	3	0.6%	No
DSC3		18q12.1	HOMDEL	3	0.6%	No
DSG3		18q12.1	HOMDEL	3	0.6%	No
DSPP		4q22.1	HOMDEL	3	0.6%	No
HBEGF		5q31.3	HOMDEL	3	0.6%	No
DTYMK		2q37.3	HOMDEL	3	0.6%	No
DUSP2		2q11.2	AMP	3	0.6%	Yes
DYRK1A		21q22.13	HOMDEL	3	0.6%	No
ECH1		19q13.2	HOMDEL	3	0.6%	No
ECH1		19q13.2	AMP	3	0.6%	No
EDA		Xq13.1	AMP	3	0.6%	No
EEF1D		8q24.3	HOMDEL	3	0.6%	No
EEF2		19p13.3	HOMDEL	3	0.6%	No
EFNB1		Xq13.1	AMP	3	0.6%	No
CELSR2		1p13.3	HOMDEL	3	0.6%	No
EGR1		5q31.2	HOMDEL	3	0.6%	Yes
EIF1AX		Xp22.12	AMP	3	0.6%	Yes
EIF2S1		14q23.3	HOMDEL	3	0.6%	No
EIF4E		4q23	HOMDEL	3	0.6%	Yes
EIF5		14q32.32	AMP	3	0.6%	No
ELF1		13q14.11	AMP	3	0.6%	No
ELF2		4q31.1	HOMDEL	3	0.6%	No
CTTN		11q13.3	HOMDEL	3	0.6%	No
EN2		7q36.3	HOMDEL	3	0.6%	No
ENO1		1p36.23	HOMDEL	3	0.6%	No
EPB41L1		20q11.23	AMP	3	0.6%	No
EPB41L2		6q23.1-q23.2	HOMDEL	3	0.6%	No
EPHA1		7q34-q35	AMP	3	0.6%	No
EPHA3		3p11.1	AMP	3	0.6%	Yes
EPHA8		1p36.12	HOMDEL	3	0.6%	No
EPHB2		1p36.12	HOMDEL	3	0.6%	No
EPHB6		7q34	AMP	3	0.6%	No
EYA4		6q23.2	HOMDEL	3	0.6%	No
ERCC4		16p13.12	AMP	3	0.6%	Yes
FBL		19q13.2	HOMDEL	3	0.6%	No
ESR2		14q23.2-q23.3	AMP	3	0.6%	No
ETF1		5q31.2	HOMDEL	3	0.6%	No
ETS1		11q24.3	AMP	3	0.6%	Yes
ETV1		7p21.2	AMP	3	0.6%	Yes
ETV2		19q13.12	AMP	3	0.6%	No
EVC		4p16.2	AMP	3	0.6%	No
EVPL		17q25.1	HOMDEL	3	0.6%	No
EYA3		1p35.3	HOMDEL	3	0.6%	No
ACSL3		2q36.1	HOMDEL	3	0.6%	Yes
FANCG		9p13.3	AMP	3	0.6%	Yes
FARSA		19p13.13	HOMDEL	3	0.6%	No
FBLN2		3p25.1	HOMDEL	3	0.6%	No
EFEMP1		2p16.1	AMP	3	0.6%	No
FCAR	1.770e-1	19q13.42	AMP	3	0.6%	No
MS4A2		11q12.1	HOMDEL	3	0.6%	No
FGF13		Xq26.3-q27.1	AMP	3	0.6%	No
FGFR3		4p16.3	HOMDEL	3	0.6%	Yes
GPC5		13q31.3	AMP	3	0.6%	No
FGR		1p35.3	HOMDEL	3	0.6%	No
FHL2		2q12.2	HOMDEL	3	0.6%	No
FKBP1A		20p13	HOMDEL	3	0.6%	No
FKBP4		12p13.33	AMP	3	0.6%	No
FOXS1		20q11.21	AMP	3	0.6%	No
FLI1		11q24.3	AMP	3	0.6%	Yes
FLT1		13q12.3	AMP	3	0.6%	Yes
FLT3		13q12.2	AMP	3	0.6%	Yes
FUS		16p11.2	HOMDEL	3	0.6%	Yes
FUT4		11q21	HOMDEL	3	0.6%	No
IFI6		1p35.3	HOMDEL	3	0.6%	No
SLC37A4		11q23.3	AMP	3	0.6%	No
XRCC6		22q13.2	HOMDEL	3	0.6%	No
GABRG2		5q34	HOMDEL	3	0.6%	No
GAK		4p16.3	HOMDEL	3	0.6%	No
GAP43		3q13.31	AMP	3	0.6%	No
LRRC32		11q13.5	AMP	3	0.6%	No
GATA1		Xp11.23	AMP	3	0.6%	Yes
GBX1		7q36.1	HOMDEL	3	0.6%	No
GBX1		7q36.1	AMP	3	0.6%	No
GBX2		2q37.2	HOMDEL	3	0.6%	No
GCDH		19p13.13	HOMDEL	3	0.6%	No
GCNT1		9q21.13	HOMDEL	3	0.6%	No
GCNT2		6p24.3-p24.2	HOMDEL	3	0.6%	No
GDI2		10p15.1	AMP	3	0.6%	No
GFPT1		2p13.3	HOMDEL	3	0.6%	No
GFRA3		5q31.2	HOMDEL	3	0.6%	No
GGT7		20q11.22	HOMDEL	3	0.6%	No
GGT5		22q11.23	HOMDEL	3	0.6%	No
GHRH		20q11.23	HOMDEL	3	0.6%	No
CBLIF		11q12.1	HOMDEL	3	0.6%	No
GJA3	4.715e-2	13q12.11	AMP	3	0.6%	No
GJB2	4.715e-2	13q12.11	AMP	3	0.6%	No
GLI1		12q13.3	HOMDEL	3	0.6%	Yes
GLI3		7p14.1	AMP	3	0.6%	No
GLI4		8q24.3	HOMDEL	3	0.6%	No
GML		8q24.3	HOMDEL	3	0.6%	No
GMPR		6p22.3	HOMDEL	3	0.6%	No
GNG3		11q12.3	HOMDEL	3	0.6%	No
GOLGA4		3p22.2	HOMDEL	3	0.6%	No
GOLGB1		3q13.33	HOMDEL	3	0.6%	No
SFN		1p36.11	HOMDEL	3	0.6%	No
GP2		16p12.3	AMP	3	0.6%	No
GP9		3q21.3	HOMDEL	3	0.6%	No
GPI		19q13.11	AMP	3	0.6%	No
XCR1		3p21.31	HOMDEL	3	0.6%	No
PRLHR		10q26.11	HOMDEL	3	0.6%	No
GPR15		3q11.2	HOMDEL	3	0.6%	No
GPR15		3q11.2	AMP	3	0.6%	No
GPR20		8q24.3	HOMDEL	3	0.6%	No
GPR22		7q22.3	HOMDEL	3	0.6%	No
GPR32		19q13.33	HOMDEL	3	0.6%	No
GPR35		2q37.3	HOMDEL	3	0.6%	No
GPR37		7q31.33	AMP	3	0.6%	No
FFAR1		19q13.12	AMP	3	0.6%	No
FFAR3		19q13.12	AMP	3	0.6%	No
GPR42		19q13.12	AMP	3	0.6%	No
FFAR2		19q13.12	AMP	3	0.6%	No
GRK4		4p16.3	AMP	3	0.6%	No
MKNK2		19p13.3	HOMDEL	3	0.6%	No
GPT		8q24.3	HOMDEL	3	0.6%	No
GPX1		3p21.31	HOMDEL	3	0.6%	No
GRIA1	1.645e-1	5q33.2	AMP	3	0.6%	No
GRIA3		Xq25	AMP	3	0.6%	No
GRID2		4q22.1-q22.2	AMP	3	0.6%	No
GRIK1		21q21.3	HOMDEL	3	0.6%	No
GRINA		8q24.3	HOMDEL	3	0.6%	No
GRM1		6q24.3	HOMDEL	3	0.6%	No
GRM3		7q21.11-q21.12	HOMDEL	3	0.6%	Yes
GRM5		11q14.2-q14.3	HOMDEL	3	0.6%	No
GRPR		Xp22.2	HOMDEL	3	0.6%	No
GRSF1		4q13.3	AMP	3	0.6%	No
GSTA1		6p12.2	HOMDEL	3	0.6%	No
GSTA2		6p12.2	HOMDEL	3	0.6%	No
GSTT1		22q11.23	HOMDEL	3	0.6%	No
GSTT2		22q11.23	HOMDEL	3	0.6%	No
MSH6		2p16.3	HOMDEL	3	0.6%	Yes
GTF2A1		14q31.1	AMP	3	0.6%	No
GTF2I		7q11.23	AMP	3	0.6%	Yes
GTF3A		13q12.2	AMP	3	0.6%	No
GTF3C1		16p12.1	AMP	3	0.6%	No
GUCY1A2		11q22.3	AMP	3	0.6%	No
GUCY1A1		4q32.1	HOMDEL	3	0.6%	No
H2AFX		11q23.3	AMP	3	0.6%	No
H2AFZ		4q23	HOMDEL	3	0.6%	No
HIST1H1A		6p22.2	HOMDEL	3	0.6%	No
HBE1		11p15.4	HOMDEL	3	0.6%	No
HBG2		11p15.4	HOMDEL	3	0.6%	No
HCK		20q11.21	AMP	3	0.6%	No
HCRTR1		1p35.2	AMP	3	0.6%	No
HTT		4p16.3	AMP	3	0.6%	No
HDAC1		1p35.2-p35.1	AMP	3	0.6%	Yes
CFH		1q31.3	HOMDEL	3	0.6%	No
CFHR1		1q31.3	HOMDEL	3	0.6%	No
CFHR2		1q31.3	HOMDEL	3	0.6%	No
HK3	1.645e-1	5q35.2	AMP	3	0.6%	No
MNX1		7q36.3	HOMDEL	3	0.6%	Yes
HMBS		11q23.3	AMP	3	0.6%	No
HMGCS2		1p12	AMP	3	0.6%	No
HMMR		5q34	HOMDEL	3	0.6%	No
HMMR	1.645e-1	5q34	AMP	3	0.6%	No
HMX1		4p16.1	AMP	3	0.6%	No
HNRNPL		19q13.2	HOMDEL	3	0.6%	No
HNRNPL		19q13.2	AMP	3	0.6%	No
HPCA		1p35.1	AMP	3	0.6%	No
HPN		19q13.11	AMP	3	0.6%	No
ERAS		Xp11.23	AMP	3	0.6%	No
HRC		19q13.33	AMP	3	0.6%	No
HRH2	1.645e-1	5q35.2	AMP	3	0.6%	No
HSD3B1		1p12	AMP	3	0.6%	Yes
HSD3B2		1p12	AMP	3	0.6%	No
HSD17B3		9q22.32	HOMDEL	3	0.6%	No
HSF1		8q24.3	HOMDEL	3	0.6%	No
DNAJB2		2q35	HOMDEL	3	0.6%	No
HSPA9		5q31.2	HOMDEL	3	0.6%	No
HSPA9	1.645e-1	5q31.2	AMP	3	0.6%	No
HSPD1		2q33.1	AMP	3	0.6%	No
HSPE1		2q33.1	AMP	3	0.6%	No
FOXN2		2p16.3	HOMDEL	3	0.6%	No
HTR1D		1p36.12	HOMDEL	3	0.6%	No
HTR2C		Xq23	HOMDEL	3	0.6%	No
HTR5A		7q36.2	HOMDEL	3	0.6%	No
HYAL1		3p21.31	HOMDEL	3	0.6%	No
IBSP		4q22.1	HOMDEL	3	0.6%	No
ID1		20q11.21	AMP	3	0.6%	No
ID2		2p25.1	AMP	3	0.6%	No
ID4		6p22.3	HOMDEL	3	0.6%	No
IDH1		2q34	HOMDEL	3	0.6%	Yes
IDH3B		20p13	HOMDEL	3	0.6%	No
IDUA		4p16.3	HOMDEL	3	0.6%	No
IFI27		14q32.12	AMP	3	0.6%	No
IFNB1		9p21.3	HOMDEL	3	0.6%	No
IFNW1		9p21.3	HOMDEL	3	0.6%	No
IFRD1		7q31.1	HOMDEL	3	0.6%	No
IGBP1		Xq13.1	AMP	3	0.6%	No
IGFBP4		17q21.2	HOMDEL	3	0.6%	No
IGHA1		14q32.33	HOMDEL	3	0.6%	No
IGHA2		14q32.33	HOMDEL	3	0.6%	No
IGHD		14q32.33	HOMDEL	3	0.6%	No
IGHE		14q32.33	HOMDEL	3	0.6%	No
IGHG1		14q32.33	HOMDEL	3	0.6%	No
IGHG2		14q32.33	HOMDEL	3	0.6%	No
IGHG3		14q32.33	HOMDEL	3	0.6%	No
IGHG4		14q32.33	HOMDEL	3	0.6%	No
IGHM		14q32.33	HOMDEL	3	0.6%	No
IGKC		2p11.2	HOMDEL	3	0.6%	No
IGSF1		Xq26.1	AMP	3	0.6%	No
IHH		2q35	HOMDEL	3	0.6%	No
IL2RA		10p15.1	AMP	3	0.6%	No
IL3RA		Xp22.33 and Yp11.2	AMP	3	0.6%	No
IL4R		16p12.1	AMP	3	0.6%	No
CXCR1		2q35	AMP	3	0.6%	No
IL9	1.645e-1	5q31.1	AMP	3	0.6%	No
CXCR2		2q35	AMP	3	0.6%	No
IL15RA		10p15.1	AMP	3	0.6%	No
IMPDH2		3p21.31	HOMDEL	3	0.6%	No
ING1		13q34	HOMDEL	3	0.6%	No
INHA		2q35	HOMDEL	3	0.6%	Yes
INHBC		12q13.3	HOMDEL	3	0.6%	No
INPP5D		2q37.1	HOMDEL	3	0.6%	Yes
INSIG1		7q36.3	HOMDEL	3	0.6%	No
PDX1		13q12.2	AMP	3	0.6%	No
IRF2		4q35.1	HOMDEL	3	0.6%	Yes
ITGA9		3p22.2	HOMDEL	3	0.6%	No
ITGAD		16p11.2	HOMDEL	3	0.6%	No
ITGAM		16p11.2	HOMDEL	3	0.6%	No
ITGAX		16p11.2	HOMDEL	3	0.6%	No
ITGB1		10p11.22	HOMDEL	3	0.6%	No
ITK	1.645e-1	5q33.3	AMP	3	0.6%	Yes
JUNB		19p13.13	HOMDEL	3	0.6%	No
KCNA4		11p14.1	HOMDEL	3	0.6%	No
KCNC3		19q13.33	HOMDEL	3	0.6%	No
KCND1		Xp11.23	AMP	3	0.6%	No
KCNF1		2p25.1	AMP	3	0.6%	No
KCNH2		7q36.1	HOMDEL	3	0.6%	No
KCNH2		7q36.1	AMP	3	0.6%	No
KCNJ1		11q24.3	AMP	3	0.6%	No
KCNJ5		11q24.3	AMP	3	0.6%	Yes
KCNJ6		21q22.13	HOMDEL	3	0.6%	No
KCNJ15		21q22.13-q22.2	HOMDEL	3	0.6%	No
KCNK3		2p23.3	HOMDEL	3	0.6%	No
KCNQ2	7.085e-2	20q13.33	AMP	3	0.6%	No
KCNS3		2p24.2	HOMDEL	3	0.6%	No
KDR		4q12	HOMDEL	3	0.6%	Yes
KEL		7q34	AMP	3	0.6%	Yes
KIR2DL1	1.770e-1	19q13.42	AMP	3	0.6%	No
KIR2DL3	1.770e-1	19q13.42	AMP	3	0.6%	No
KIR2DL4	1.770e-1	19q13.42	AMP	3	0.6%	No
