Gene_name	EnsemblID	Median(Tumor)	Median(Normal)	log2FC	FDR
GADD45G	ENSG00000130222	5.39	21.53	-1.818	2.05E-77
LRCH2	ENSG00000130224	0.43	2.71	-1.375	7.82E-147
SAFB2	ENSG00000130254	25.57	56.559	-1.115	6.51E-84
USHBP1	ENSG00000130307	0.57	11.12	-2.949	0.00E+00
LSM7	ENSG00000130332	137.02	67.58	1.009	5.35E-96
MLLT4	ENSG00000130396	26.054	82.589	-1.627	2.31E-133
STK33	ENSG00000130413	2.205	6.115	-1.151	1.34E-53
GDF15	ENSG00000130513	13.31	31.841	-1.198	1.49E-25
KIAA1683	ENSG00000130518	0.555	3.54	-1.546	8.35E-100
LSM4	ENSG00000130520	160.574	70.426	1.178	2.86E-117
JUND	ENSG00000130522	58.32	196.978	-1.739	3.03E-118
HRC	ENSG00000130528	0.19	1.96	-1.315	6.06E-167
ZBTB46	ENSG00000130584	1.49	5.685	-1.425	1.19E-149
TNNT3	ENSG00000130595	0.885	3.3	-1.19	1.54E-15
TNNI2	ENSG00000130598	1.815	9.93	-1.957	3.25E-105
PNPLA7	ENSG00000130653	0.78	6.91	-2.152	6.77E-171
GATA5	ENSG00000130700	0.09	1.81	-1.366	3.07E-172
RBBP8NL	ENSG00000130701	2	0.16	1.371	1.13E-133
LAMA5	ENSG00000130702	76.164	241.921	-1.654	7.68E-51
POMT1	ENSG00000130714	11.54	25.335	-1.07	4.81E-85
FIBCD1	ENSG00000130720	0.57	2.8	-1.275	2.99E-43
GMFG	ENSG00000130755	30.36	138.452	-2.153	3.08E-176
THEMIS2	ENSG00000130775	16.755	63.162	-1.853	7.90E-124
SLC6A8	ENSG00000130821	132.922	9.94	3.614	5.69E-190
PNCK	ENSG00000130822	15.655	0.725	3.271	3.82E-123
MPP1	ENSG00000130830	11.785	54.05	-2.106	2.48E-174
ZNF331	ENSG00000130844	6.525	39.58	-2.431	4.94E-171
NOL11	ENSG00000130935	36.955	17.68	1.023	2.48E-114
HABP4	ENSG00000130956	4.08	11.495	-1.298	1.17E-154
PRRG1	ENSG00000130962	1.45	5.04	-1.302	1.02E-141
RGN	ENSG00000130988	0.925	19.34	-3.401	2.41E-261
TXLNGY	ENSG00000131002	2.75	17.13	-2.273	2.13E-10
ULBP2	ENSG00000131015	9.235	3.26	1.265	5.20E-44
SYNE1	ENSG00000131018	5.435	64.5	-3.347	1.56E-288
ULBP3	ENSG00000131019	3.195	0.6	1.391	2.47E-109
LILRB2	ENSG00000131042	4.665	23.01	-2.084	1.98E-138
RBM39	ENSG00000131051	132.013	279.343	-1.076	1.42E-56
HIGD1B	ENSG00000131097	2.38	45.15	-3.771	6.06E-251
ZNF141	ENSG00000131127	2.72	7.68	-1.222	1.28E-112
GSE1	ENSG00000131149	10.875	27.99	-1.288	6.85E-97
GINS2	ENSG00000131153	10.705	0.59	2.88	7.40E-267
F12	ENSG00000131187	8.775	0.8	2.441	7.43E-186
MRPS25	ENSG00000131368	22.78	47.781	-1.037	1.13E-76
SH3BP5	ENSG00000131370	11.83	74.845	-2.564	1.27E-206
RFTN1	ENSG00000131378	10.04	48.346	-2.16	5.79E-166
GALNT15	ENSG00000131386	0.67	5.82	-2.03	5.77E-114
NAPSA	ENSG00000131400	35.221	846.666	-4.549	2.17E-81
LRRC4B	ENSG00000131409	0.38	3.575	-1.729	2.31E-127
PDLIM4	ENSG00000131435	33.175	10.865	1.526	1.03E-45
GFPT2	ENSG00000131459	5.25	21.135	-1.824	4.66E-81
TUBG1	ENSG00000131462	51.369	21.35	1.228	1.53E-121
PSME3	ENSG00000131467	78.729	37.869	1.036	1.25E-90
RAMP2	ENSG00000131477	17.765	149.909	-3.008	1.82E-239
TMEM204	ENSG00000131634	7.295	68.704	-3.071	7.38E-241
KREMEN2	ENSG00000131650	2.43	0.09	1.654	6.17E-85
NPHP4	ENSG00000131697	3.715	8.53	-1.015	1.41E-91
TNS4	ENSG00000131746	34.536	0.42	4.645	9.40E-225
TOP2A	ENSG00000131747	42.223	1.98	3.858	3.85E-257
STARD3	ENSG00000131748	37.37	78.452	-1.05	2.53E-70
RARA	ENSG00000131759	17.87	58.205	-1.65	2.03E-170
PPP1R1B	ENSG00000131771	3.81	11.015	-1.321	6.32E-16
KHDRBS3	ENSG00000131773	5.52	12.735	-1.075	1.59E-32
FMO5	ENSG00000131781	1.51	11.921	-2.364	1.62E-103
RAI2	ENSG00000131831	3.09	29.746	-2.91	3.98E-255
NR0B2	ENSG00000131910	0.07	1.315	-1.113	5.01E-56
FAAP24	ENSG00000131944	4.905	1.16	1.451	5.00E-173
MATN3	ENSG00000132031	2.035	7.425	-1.473	7.42E-69
SPATA6	ENSG00000132122	1.69	5.26	-1.219	7.44E-114
RAF1	ENSG00000132155	37.825	78.294	-1.03	1.93E-117
PPARG	ENSG00000132170	7.39	20.644	-1.367	5.02E-73
TRIM22	ENSG00000132274	25.61	100.492	-1.931	7.00E-135
MRPL35	ENSG00000132313	32.666	12.79	1.288	7.96E-152
PTPRE	ENSG00000132334	6.285	25.305	-1.852	2.19E-164
RAN	ENSG00000132341	764.964	259.519	1.556	5.03E-170
INPP5K	ENSG00000132376	18.12	50.506	-1.43	5.33E-174
PNISR	ENSG00000132424	26.99	118.722	-2.097	1.12E-128
POPDC3	ENSG00000132429	3.31	0.45	1.572	9.38E-55
FIGNL1	ENSG00000132436	9.98	2.505	1.647	3.55E-153
ITGB4	ENSG00000132470	198.954	19.77	3.267	4.00E-185
ZRANB2	ENSG00000132485	26.645	67.165	-1.302	2.20E-112
KDM6B	ENSG00000132510	10.49	23.67	-1.102	1.02E-71
SLC52A1	ENSG00000132517	2.235	0.295	1.321	4.47E-81
XAF1	ENSG00000132530	13.91	43.984	-1.593	3.52E-76
RGS22	ENSG00000132554	0.185	1.465	-1.057	2.43E-94
NIP7	ENSG00000132603	26.109	9.58	1.357	4.56E-145
HSPA12B	ENSG00000132622	1.37	19.78	-3.132	8.46E-290
PCED1A	ENSG00000132635	19.475	42.194	-1.077	8.10E-57
PCNA	ENSG00000132646	148.035	36.741	1.981	8.82E-203
NES	ENSG00000132688	6.44	39.545	-2.446	2.41E-153
RAB25	ENSG00000132698	124.456	50.876	1.274	2.29E-95
SYT11	ENSG00000132718	2.77	7.645	-1.197	1.34E-79
MTL5	ENSG00000132749	5.55	0.69	1.954	2.41E-153
VSTM2L	ENSG00000132821	2.04	9.82	-1.832	3.14E-51
WASF3	ENSG00000132970	1.41	7.21	-1.768	4.68E-129
MYH10	ENSG00000133026	13.92	69.11	-2.232	1.54E-151
MPRIP	ENSG00000133030	47.644	129.086	-1.419	5.07E-137
PIK3C2B	ENSG00000133056	5.015	11.37	-1.04	2.02E-79
TRPC4	ENSG00000133107	0.31	1.72	-1.054	5.27E-110
POSTN	ENSG00000133110	92.135	34.185	1.404	7.88E-34
KL	ENSG00000133116	0.19	3.05	-1.767	3.53E-212
RFC3	ENSG00000133119	10.42	4.3	1.107	1.78E-108
STARD13	ENSG00000133121	1.665	14.5	-2.54	1.62E-268
TCEAL4	ENSG00000133142	71.238	152.239	-1.085	1.95E-76
SLC39A11	ENSG00000133195	26.764	9.455	1.409	2.31E-146
EPHB2	ENSG00000133216	5.955	1.76	1.333	1.98E-67
PRAM1	ENSG00000133246	1.335	16.74	-2.926	2.57E-279
RARRES3	ENSG00000133321	43.899	132.839	-1.576	1.30E-66
MYH11	ENSG00000133392	9.92	133.954	-3.627	6.55E-120
PDZD2	ENSG00000133401	1.84	12.38	-2.236	6.35E-114
GSTT2B	ENSG00000133433	5.32	14.375	-1.283	9.85E-38
FAM83F	ENSG00000133477	11.81	0.15	3.478	7.94E-234
SEC14L4	ENSG00000133488	0.81	2.65	-1.012	9.25E-43
GIMAP6	ENSG00000133561	4.19	26.23	-2.391	8.18E-182
GIMAP4	ENSG00000133574	11.44	53.524	-2.132	3.39E-149
ZNF767P	ENSG00000133624	4.69	15.1	-1.501	3.13E-85
NTS	ENSG00000133636	25.595	0.54	4.11	4.96E-67
SFTPD	ENSG00000133661	14.18	317.089	-4.389	2.44E-75
TMEM254	ENSG00000133678	25	11.66	1.038	6.38E-103
SPINK5	ENSG00000133710	4.95	1.525	1.237	6.97E-50
LYVE1	ENSG00000133800	1.61	40.186	-3.98	3.99E-303
MICAL2	ENSG00000133816	11.585	27.085	-1.158	1.65E-58
HSD17B4	ENSG00000133835	72.248	167.729	-1.204	5.29E-116
ZFC3H1	ENSG00000133858	9.925	37.294	-1.809	2.09E-109
RNF122	ENSG00000133874	7.24	19.9	-1.343	4.31E-102
NUMB	ENSG00000133961	28.18	65.65	-1.192	1.64E-146
PEBP4	ENSG00000134020	1.79	83.664	-4.924	2.08E-154
IRAK2	ENSG00000134070	2.435	5.935	-1.014	1.60E-56
PRPF38B	ENSG00000134186	18.775	40.461	-1.068	3.28E-82
GSTM5	ENSG00000134201	1.305	15.11	-2.805	4.87E-224
PTPN22	ENSG00000134242	1.5	5.265	-1.325	6.32E-124
SORT1	ENSG00000134243	13.085	38.925	-1.503	1.38E-125
WNT2B	ENSG00000134245	2.19	5.525	-1.032	2.96E-27
PTGFRN	ENSG00000134247	56.189	11.83	2.156	1.31E-154
VTCN1	ENSG00000134258	5.57	0.07	2.618	1.82E-102
YWHAQ	ENSG00000134308	276.655	134.335	1.037	6.43E-106
GRHL1	ENSG00000134317	14.645	3.13	1.921	3.44E-96
ROCK2	ENSG00000134318	7.48	18.78	-1.222	6.49E-111
LPIN1	ENSG00000134324	6.9	21.825	-1.531	6.20E-102
LDHA	ENSG00000134333	828.695	300.443	1.461	8.23E-107
IL6ST	ENSG00000134352	12.655	56.525	-2.075	1.66E-218
FST	ENSG00000134363	28.185	6.845	1.895	3.73E-49
IL15RA	ENSG00000134470	16.295	50.5	-1.574	2.62E-115
KCTD1	ENSG00000134504	32.785	4.805	2.541	3.06E-168
RERG	ENSG00000134533	3.495	13.655	-1.705	5.75E-93
KLRD1	ENSG00000134539	1.46	4.11	-1.055	3.75E-62
STK26	ENSG00000134602	14.505	4.665	1.453	2.61E-121
PIWIL4	ENSG00000134627	0.885	3.065	-1.109	2.60E-92
SPOCD1	ENSG00000134668	2.78	10.35	-1.586	1.07E-75
PHC2	ENSG00000134686	49.075	128.845	-1.375	3.94E-114
FHOD3	ENSG00000134775	4.464	1.12	1.366	1.49E-50
SLC43A3	ENSG00000134802	19.028	61.114	-1.633	2.36E-96
TIMM10	ENSG00000134809	61.165	28.215	1.089	3.45E-116
PDGFRA	ENSG00000134853	7.63	47.2	-2.482	1.31E-133
ERCC5	ENSG00000134899	18.835	44.865	-1.209	4.17E-103
ETS1	ENSG00000134954	17.85	64.955	-1.807	2.10E-118
NREP	ENSG00000134986	34.324	13.74	1.261	8.58E-54
TMEM2	ENSG00000135048	20.08	88.269	-2.082	2.49E-167
GOLM1	ENSG00000135052	32.434	12.295	1.33	1.13E-76
FAM189A2	ENSG00000135063	1.405	30.91	-3.73	4.30E-257
PSAT1	ENSG00000135069	38.269	2.215	3.611	6.30E-181
HAVCR2	ENSG00000135077	6.14	15.305	-1.191	6.59E-69
TAOK3	ENSG00000135090	9.915	22.365	-1.098	1.52E-131
MSI1	ENSG00000135097	2.46	0.43	1.275	1.50E-61
TBX3	ENSG00000135111	4.615	36.515	-2.74	1.62E-175
TMEM243	ENSG00000135185	17.88	57.721	-1.637	4.88E-170
HILPDA	ENSG00000135245	31.714	11.29	1.412	1.21E-18
MRAP2	ENSG00000135324	3.92	0.57	1.648	2.39E-61
LMO2	ENSG00000135363	5.825	35.428	-2.416	4.79E-170
PRRG4	ENSG00000135378	14.61	4.15	1.6	4.45E-102
ITGA7	ENSG00000135424	2.6	28.574	-3.038	1.10E-188
RDH5	ENSG00000135437	1.545	7.465	-1.734	1.12E-140
TROAP	ENSG00000135451	34.779	1.685	3.736	3.03E-267
PAN2	ENSG00000135473	16.31	60.4	-1.827	2.56E-95
ESPL1	ENSG00000135476	5.775	0.9	1.834	2.81E-159
KRT7	ENSG00000135480	38.898	409.593	-3.363	1.43E-86
SLC26A10	ENSG00000135502	0.945	5.885	-1.824	6.06E-98
MAP7	ENSG00000135525	17.4	4.98	1.622	1.74E-147
MICAL1	ENSG00000135596	10.795	77.629	-2.737	1.31E-189
STX11	ENSG00000135604	3.925	22.515	-2.255	4.56E-186
TEC	ENSG00000135605	0.985	3.21	-1.085	4.30E-149
KCNMB4	ENSG00000135643	1.705	5.935	-1.358	8.35E-65
USP15	ENSG00000135655	27.29	64.76	-1.217	1.82E-111
KIAA0513	ENSG00000135709	3.27	7.9	-1.06	1.96E-95
FBXL8	ENSG00000135722	5.075	15.085	-1.405	5.76E-69
FHOD1	ENSG00000135723	12.365	100.705	-2.928	5.50E-221
SLC9A5	ENSG00000135740	0.505	2.91	-1.377	2.45E-114
KCNK1	ENSG00000135750	21.55	4.71	1.982	2.95E-107
NTPCR	ENSG00000135778	67.211	29.26	1.173	3.52E-109
KIAA1614	ENSG00000135835	1.15	3.635	-1.108	1.08E-88
SLC19A3	ENSG00000135917	0.48	7.3	-2.488	1.01E-253
SERPINE2	ENSG00000135919	40.47	9.885	1.93	4.64E-65
ISCU	ENSG00000136003	73.299	152.9	-1.051	2.88E-119
USP44	ENSG00000136014	0.53	2.33	-1.122	1.51E-103
PLXNC1	ENSG00000136040	3.89	9.11	-1.048	1.08E-69
VILL	ENSG00000136059	3.55	8.465	-1.057	3.61E-63
NEK3	ENSG00000136098	4.685	16.48	-1.62	1.03E-134
THSD1	ENSG00000136114	2.22	10.665	-1.857	5.72E-141
LRCH1	ENSG00000136141	4.985	13.4	-1.267	1.66E-156
PHF11	ENSG00000136147	20.71	52.67	-1.306	3.87E-146
LMO7	ENSG00000136153	29.19	170.283	-2.504	6.63E-174
SCEL	ENSG00000136155	3.515	41.965	-3.25	5.51E-147
SPRY2	ENSG00000136158	11.915	30.75	-1.298	1.55E-64
TNS3	ENSG00000136205	13.42	41.629	-1.564	7.85E-115
IGF2BP3	ENSG00000136231	12.485	0.675	3.009	1.58E-154
GPNMB	ENSG00000136235	373.586	91.025	2.025	4.22E-74
RAPGEF5	ENSG00000136237	7.86	32.446	-1.916	2.86E-176
IL6	ENSG00000136244	9.005	27.099	-1.49	3.39E-27
NACAD	ENSG00000136274	0.74	2.61	-1.053	2.85E-70
MYO1G	ENSG00000136286	4.7	22.855	-2.065	1.69E-132
NKX2-1	ENSG00000136352	2.03	61.545	-4.368	4.34E-187
TM6SF1	ENSG00000136404	1.83	11.055	-2.091	1.65E-187
RSAD1	ENSG00000136444	14.975	32.581	-1.072	1.06E-81
NDUFB5	ENSG00000136521	153.542	50.885	1.575	1.37E-148
MRPL47	ENSG00000136522	81.275	22.39	1.815	2.70E-191
SCN7A	ENSG00000136546	0.385	24.83	-4.221	0.00E+00
HLX	ENSG00000136630	5.36	26.425	-2.108	1.07E-187
IL36G	ENSG00000136688	3.29	0.06	2.017	6.44E-74
IL1RN	ENSG00000136689	43.164	11.935	1.772	5.74E-38
IL36RN	ENSG00000136695	2.03	0.01	1.585	2.56E-80
HS6ST1	ENSG00000136720	40.696	18.635	1.087	1.41E-73
GYPC	ENSG00000136732	15.155	104.658	-2.709	2.10E-214
TXN	ENSG00000136810	392.976	175.046	1.162	1.55E-69
SMC2	ENSG00000136824	9.345	2.79	1.449	1.34E-139
KLF4	ENSG00000136826	24.365	88.159	-1.814	1.17E-87
ST6GALNAC4	ENSG00000136840	17.465	37.914	-1.076	2.91E-101
TMOD1	ENSG00000136842	1.225	14.64	-2.813	6.91E-163
STXBP1	ENSG00000136854	11.32	38.534	-1.682	1.16E-141
TLR4	ENSG00000136869	2.69	13.015	-1.925	4.40E-153
MYC	ENSG00000136997	79.853	37.14	1.084	2.24E-31
IL33	ENSG00000137033	5.81	25.829	-1.978	6.92E-67
IL11RA	ENSG00000137070	4.66	27.01	-2.307	5.17E-162
TLN1	ENSG00000137076	89.765	252.676	-1.483	2.38E-125
SPAG8	ENSG00000137098	0.72	4.43	-1.659	1.03E-105
PPIL1	ENSG00000137168	34.651	11.39	1.525	2.53E-153
GMPR	ENSG00000137198	3.78	13.08	-1.559	3.67E-99
TFAP2A	ENSG00000137203	21.125	0.39	3.993	7.30E-303
FOXF2	ENSG00000137273	4.92	17.16	-1.617	8.40E-103
TUBB2B	ENSG00000137285	4.21	1.315	1.17	1.90E-42
UQCC2	ENSG00000137288	107.533	38.869	1.445	6.84E-140
HMGA1	ENSG00000137309	273.708	39.789	2.752	1.09E-233
TCF19	ENSG00000137310	14.37	4.06	1.603	6.81E-134
RNF144B	ENSG00000137393	8.745	23.4	-1.324	9.12E-86
FGFBP1	ENSG00000137440	48.819	2.32	3.908	7.15E-111
FGFBP2	ENSG00000137441	0.765	4.12	-1.536	2.74E-02
TLR2	ENSG00000137462	6.575	32.36	-2.139	1.12E-169
FCHSD2	ENSG00000137478	11.145	23.665	-1.022	8.90E-92
SLCO2B1	ENSG00000137491	11.47	62.335	-2.345	6.17E-136
IL18BP	ENSG00000137496	12.055	31.67	-1.323	9.13E-85
SYTL2	ENSG00000137501	7.12	20.085	-1.377	7.56E-86
LRRC32	ENSG00000137507	9.535	109.326	-3.388	2.02E-247
MRPL15	ENSG00000137547	58.086	23.784	1.253	7.79E-137
GGH	ENSG00000137563	48.98	7.25	2.599	1.85E-219
SULF1	ENSG00000137573	47.735	11.235	1.994	5.82E-85
SDCBP	ENSG00000137575	93.935	207.979	-1.138	3.46E-107
TMPRSS4	ENSG00000137648	126.622	1.05	5.96	7.45E-227
TRPC6	ENSG00000137672	1.325	12.24	-2.51	7.88E-182
MMP7	ENSG00000137673	36.724	5.67	2.5	7.85E-82
TRIM29	ENSG00000137699	300.037	5.125	5.619	4.12E-229
FXYD6	ENSG00000137726	19.96	88.113	-2.088	5.36E-100
MMP13	ENSG00000137745	3.48	0.015	2.142	6.02E-70
TMPRSS13	ENSG00000137747	13.065	2.715	1.921	4.29E-101
THBS1	ENSG00000137801	31.725	295.639	-3.18	2.12E-142
NUSAP1	ENSG00000137804	33.825	3.56	2.933	2.42E-234
KIF23	ENSG00000137807	18.035	2.275	2.539	2.87E-223
ITGA11	ENSG00000137809	3.795	1.39	1.005	1.73E-32
PAQR5	ENSG00000137819	2.17	5.455	-1.026	2.04E-46
UACA	ENSG00000137831	12.73	44.558	-1.73	1.36E-155
SMAD6	ENSG00000137834	2.705	34.045	-3.242	5.27E-194
PLCB2	ENSG00000137841	7.1	47.086	-2.57	1.34E-192
PAK6	ENSG00000137843	6.15	0.9	1.912	1.29E-131
STRA6	ENSG00000137868	4.5	0.23	2.161	1.69E-107
GCOM1	ENSG00000137878	0.26	2.86	-1.615	1.70E-155
TTLL7	ENSG00000137941	1.645	5.055	-1.195	1.19E-67
GIPC2	ENSG00000137960	0.23	1.49	-1.017	1.22E-75
IFI44	ENSG00000137965	19.52	40.12	-1.003	1.59E-37
SLC44A5	ENSG00000137968	3.465	0.17	1.932	2.44E-143
EPT1	ENSG00000138018	12.44	4.39	1.318	1.92E-119
KIF11	ENSG00000138160	11.32	0.71	2.849	1.75E-291
TACC2	ENSG00000138162	24.755	61.896	-1.288	3.04E-78
KIF20B	ENSG00000138182	3.72	1.045	1.207	7.15E-153
PLCE1	ENSG00000138193	1.455	8.875	-2.008	7.63E-153
RBP4	ENSG00000138207	1.525	15.265	-2.687	2.08E-101
GPR87	ENSG00000138271	43.075	0.095	5.331	1.31E-272
STAT4	ENSG00000138378	1.84	7.48	-1.578	1.89E-122
HECW2	ENSG00000138411	1.23	8.525	-2.095	2.93E-219
OLA1	ENSG00000138430	108.6	33.066	1.686	9.53E-207
FAM117B	ENSG00000138439	6.785	2.485	1.16	1.09E-80
WDR12	ENSG00000138442	42.105	14.405	1.484	2.74E-129
SLC40A1	ENSG00000138449	30.045	68.785	-1.169	3.18E-38
SECISBP2L	ENSG00000138593	6.095	18.43	-1.453	5.56E-147
FAM13A	ENSG00000138640	7.185	18.09	-1.222	2.34E-93
RASGEF1B	ENSG00000138670	5.875	19.03	-1.543	5.07E-129
FGF2	ENSG00000138685	0.88	5.05	-1.686	1.56E-130
KIAA1109	ENSG00000138688	8.41	31.62	-1.793	5.22E-172
MMRN1	ENSG00000138722	0.91	14.14	-2.987	8.92E-234
PDE5A	ENSG00000138735	2.865	14.595	-2.013	2.21E-187
PRDM5	ENSG00000138738	1.395	4.735	-1.26	3.77E-130
SHROOM3	ENSG00000138771	3.35	9.225	-1.233	4.81E-67
SLC39A8	ENSG00000138821	10.675	99.604	-3.107	1.00E-169
FBN2	ENSG00000138829	1.63	0.21	1.12	5.95E-51
MAPK8IP3	ENSG00000138834	15.94	73.31	-2.133	1.30E-91
RGS3	ENSG00000138835	21.385	64.61	-1.551	1.10E-117
PARVG	ENSG00000138964	8.105	48.025	-2.429	1.41E-180
GABARAPL1	ENSG00000139112	48.734	127.689	-1.372	9.45E-105
KIF21A	ENSG00000139116	11.905	3.79	1.43	6.50E-84
YARS2	ENSG00000139131	22.309	8.73	1.26	6.93E-155
FGD4	ENSG00000139132	2.425	9.045	-1.552	9.74E-179
FAM60A	ENSG00000139146	61.605	19.13	1.637	1.18E-155
ZCRB1	ENSG00000139168	58.971	28.67	1.015	1.16E-132
TMEM117	ENSG00000139173	7.675	1.485	1.804	1.89E-161
VAMP1	ENSG00000139190	4.435	12.805	-1.345	1.16E-82
TMEM19	ENSG00000139291	24.43	8.585	1.408	1.28E-126
PTPRQ	ENSG00000139304	0.14	1.445	-1.101	1.28E-91
TMTC3	ENSG00000139324	12.235	3.4	1.589	1.45E-167
SNRPF	ENSG00000139343	50.46	21.775	1.176	9.94E-135
GLTP	ENSG00000139433	66.883	26.616	1.298	2.37E-103
SLC46A3	ENSG00000139508	4.13	10.01	-1.102	2.44E-94
SLC7A1	ENSG00000139514	14.895	4.69	1.482	9.17E-95
N4BP2L1	ENSG00000139597	6.39	27.259	-1.935	4.78E-179
MAP3K12	ENSG00000139625	4.735	29.1	-2.392	2.55E-170
GALNT6	ENSG00000139629	10.66	3.235	1.461	2.72E-72
LMBR1L	ENSG00000139636	18.19	67.179	-1.829	7.11E-138
RHOF	ENSG00000139725	6.99	16.675	-1.145	5.55E-57
SLAIN1	ENSG00000139737	2.075	6.23	-1.233	1.65E-63
MBNL2	ENSG00000139793	12.345	26.394	-1.038	1.04E-71
RAB20	ENSG00000139832	12.3	34.99	-1.436	5.20E-100
GRTP1	ENSG00000139835	13.305	5.28	1.188	3.87E-78
SSTR1	ENSG00000139874	0.145	3.965	-2.116	4.53E-227
FRMD6	ENSG00000139926	27.814	7.34	1.789	1.49E-89
RTN1	ENSG00000139970	2.06	8.825	-1.683	1.33E-99
STON2	ENSG00000140022	12.985	4.72	1.29	7.68E-49
GPR65	ENSG00000140030	0.8	2.77	-1.067	5.37E-114
JDP2	ENSG00000140044	17.125	48.9	-1.461	5.59E-111
FBLN5	ENSG00000140092	9.885	175.824	-4.022	6.28E-271
SORD	ENSG00000140263	26.349	4.795	2.239	8.86E-179
FGF7	ENSG00000140285	3.31	23.115	-2.484	1.87E-135
HDC	ENSG00000140287	1.115	10.935	-2.496	3.70E-136
GCNT3	ENSG00000140297	1.68	0.3	1.044	8.28E-52
GTF2A2	ENSG00000140307	124.896	60.854	1.025	1.36E-111
PSTPIP1	ENSG00000140368	6.29	18.07	-1.387	3.96E-76
NEIL1	ENSG00000140398	5.495	38.63	-2.609	6.10E-150
MAN2C1	ENSG00000140400	46.728	244.162	-2.361	2.30E-128
TPM1	ENSG00000140416	107.716	271.742	-1.327	4.68E-70
RHCG	ENSG00000140519	15.124	0.33	3.6	5.36E-97
FANCI	ENSG00000140525	23.075	3.575	2.396	7.94E-205
TICRR	ENSG00000140534	3.845	0.52	1.672	1.30E-155
NTRK3	ENSG00000140538	0.16	5.33	-2.448	6.09E-215
MFGE8	ENSG00000140545	72.473	202.938	-1.473	5.77E-79
ITGAX	ENSG00000140678	8.565	97.954	-3.371	6.66E-195
TGFB1I1	ENSG00000140682	15.185	67.444	-2.08	1.52E-153
NKD1	ENSG00000140807	0.535	6.585	-2.305	2.19E-165
MARVELD3	ENSG00000140832	10.54	2.47	1.734	1.54E-175
NLRC5	ENSG00000140853	15.06	40.995	-1.387	7.23E-69
KIFC3	ENSG00000140859	16.255	56.404	-1.734	5.55E-114
TLDC1	ENSG00000140950	10.03	4.51	1.001	6.01E-72
IRF8	ENSG00000140968	5.545	19.275	-1.631	2.50E-101
RHOT2	ENSG00000140983	49.976	118.352	-1.227	5.59E-51
TCF25	ENSG00000141002	68.721	142.982	-1.046	1.06E-93
MYOCD	ENSG00000141052	0.06	2.295	-1.636	4.03E-204
KSR1	ENSG00000141068	16.065	40.765	-1.291	5.57E-67
SGSM2	ENSG00000141258	17.15	58.985	-1.725	2.82E-116
PTRH2	ENSG00000141378	30.32	13.23	1.138	2.10E-106
SLC39A6	ENSG00000141424	41.4	13.255	1.573	2.74E-148
GALNT1	ENSG00000141429	45.526	18.22	1.275	2.03E-106
GATA6	ENSG00000141448	1.865	14.99	-2.481	1.96E-237
SLC14A1	ENSG00000141469	0.29	2.69	-1.516	3.65E-60
ZMYND15	ENSG00000141497	1.425	7.77	-1.855	2.50E-203
MINK1	ENSG00000141503	35.005	83.876	-1.237	3.98E-91
SAT2	ENSG00000141504	44.03	91.277	-1.035	2.50E-95
PIK3R5	ENSG00000141506	2.58	26.635	-2.948	2.43E-240
TP53	ENSG00000141510	33.204	15.31	1.068	1.50E-32
ZNF750	ENSG00000141579	13.43	1.575	2.486	1.13E-119
MAPK4	ENSG00000141639	0.19	1.795	-1.232	8.50E-78
ZCCHC2	ENSG00000141664	6.14	14.1	-1.081	3.67E-117
PMAIP1	ENSG00000141682	19.325	3.06	2.324	9.79E-152
P3H4	ENSG00000141696	20.564	7.135	1.406	6.02E-87
PNMT	ENSG00000141744	0.21	4.335	-2.14	1.93E-111
TPGS1	ENSG00000141933	3.19	10.745	-1.487	1.91E-91
PPAP2C	ENSG00000141934	73.409	6.905	3.235	2.68E-188
TMEM91	ENSG00000142046	9.715	22.97	-1.162	1.29E-60
IFITM3	ENSG00000142089	599.202	1545.383	-1.365	7.75E-75
SIK1	ENSG00000142178	2.675	9.04	-1.45	4.25E-29
TMEM50B	ENSG00000142188	19.45	56.596	-1.494	6.05E-145
WTIP	ENSG00000142279	4.8	16.965	-1.631	2.73E-107
MYO1F	ENSG00000142347	6.705	55.088	-2.864	6.91E-215
NLRP12	ENSG00000142405	0.07	1.19	-1.033	2.50E-148
SLC2A5	ENSG00000142583	2.985	0.895	1.072	5.28E-65
RERE	ENSG00000142599	18.81	42.34	-1.129	9.10E-83
MMEL1	ENSG00000142606	1.23	4.91	-1.406	3.22E-53
PRDM16	ENSG00000142611	0.45	3.59	-1.662	1.99E-148
PADI3	ENSG00000142619	1.7	0	1.433	1.53E-66
IL22RA1	ENSG00000142677	2.21	0.545	1.055	1.63E-63
EVA1B	ENSG00000142694	11.415	36.68	-1.602	4.70E-98
PLK4	ENSG00000142731	6.755	1.265	1.776	1.37E-181
MAP3K6	ENSG00000142733	24.08	112.36	-2.176	6.28E-128
FCN3	ENSG00000142748	3.17	616.496	-7.21	0.00E+00
TINAGL1	ENSG00000142910	35.538	115.072	-1.668	7.23E-51
KIF2C	ENSG00000142945	17.16	1.03	3.161	7.90E-290
PTPRF	ENSG00000142949	128.671	37.1	1.767	1.56E-149
SYPL2	ENSG00000143028	0.12	1.42	-1.112	6.37E-200
IGSF3	ENSG00000143061	22.765	4.705	2.059	1.16E-120
ITGA10	ENSG00000143127	0.37	16.6	-3.683	1.59E-269
RXRG	ENSG00000143171	0.19	2.28	-1.463	1.19E-131
UCK2	ENSG00000143179	41.704	11.105	1.819	2.07E-147
