Gene_name	Description	Tumor	Normal
KIAA0226L		1495	4.58
NDFIP2		26.91	11.46
KLF5		88929	19965
SGCG		0.15	2.84
FLT1		6.53	20.23
RGCC		30.38	611.22
MEDAG		2.47	7995
TSC22D1		57779	137935
MSLN		5.23	64679
MGRN1		17.7	36435
HSF4		16959	44854
GDPD3		2.63	9.09
NFAT5		3.47	8.49
PLLP		10.32	55681
ZNF423		745	3.14
NDRG4		14955	31044
HAS3		44769	3255
SLC7A6		7885	18246
TAF1C		16939	56635
WFDC1		1865	24855
TSC2		28561	59426
FOXF1		1.58	27.45
HAGHL		4.59	10275
SLC7A5		76709	9145
MEFV		0.37	4.84
PIEZO1		57005	152.99
RRN3P2		0.54	3.43
QPRT		4855	11.13
MAZ		199147	96985
STX4		41291	90735
KAT8		26511	58415
TMC5		3.77	20.85
KNOP1		21295	8.11
HERC1		15785	42206
RASL12		2695	31645
HOMER2		13.18	5.13
ZNF106		8105	19.1
RHOV		32755	0.64
OIP5		8.39	0.4
MYEF2		4885	12055
LAPTM4B		115451	30506
IKBKB		24.68	55301
ESRP1		55.51	14405
NDRG1		577328	203635
NCALD		5145	17.78
GSDMD		48.44	101.37
PYCRL		13085	4435
GSR		41871	20.08
ERICH1		9.07	24335
TUSC3		58641	26875
MCM4		70479	7065
FCGRT		73353	228539
RNASEH2A		45754	8.7
KLC3		11025	1.11
LYL1		2.79	12785
RETN		0.71	28364
IL4I1		7375	1.73
TLE6		1.46	4165
NOVA2		0.42	7785
LILRB1		3.24	14.89
LILRA1		0.42	3.16
TNNT1		19005	3725
RASAL3		3495	19445
SYDE1		4405	17.67
FBL		345369	127053
GPI		362691	112.15
PRX		1345	42885
SLC1A5		152778	67669
TJP3		3.44	12695
ICAM4		1.38	4.34
NKG7		12.8	38465
ICAM5		1.36	14.13
TYK2		50.86	144567
PLA2G4C		4005	19.56
SIGLEC5		515	3065
LPPR2		11755	30995
RASIP1		2.98	38109
MIER2		14.54	31484
PLEKHA4		10465	23.22
LILRB5		1.34	11.13
JAK3		4175	13.72
PIK3R2		36131	13205
PDE4C		1195	5185
HAMP		2795	795
LSR		158286	36659
HPN		3425	17809
SCN1B		3.85	12.8
PBX4		1.93	6.65
SIPA1L3		16.31	7185
RASA4		9.59	27.52
PON2		57179	149727
ITGB8		11035	2045
STEAP1B		2415	0.47
MPP6		5925	1995
TFEC		1645	9635
H2AFV		184272	82819
MET		22.31	7155
WNT2		2.92	11.93
HOXA1		2.7	0.31
HOXA5		3.05	19065
TSPAN12		4.67	21.63
SSBP1		170165	79561
NOD1		4895	18.76
FAM188B		3375	10185
NSUN5P2		9779	20885
HSPB1		1530035	503796
NUDT1		61.22	14.22
PTPRZ1		26985	1675
PCOLCE		48975	111561
LSM5		80615	32381
RPA3		44856	18.01
GLCCI1		4505	10.8
TMEM106B		25145	8.93
EZH2		14215	3905
ZNF862		3315	9.15
MEOX2		0.87	10.68
POU6F2		1655	0.01
RARRES2		104361	371662
GIMAP2		5475	15.61
POLD2		110533	49905
SPATA6L		0.82	3635
SLC1A1		1.54	10705
LHX2		1.31	0.03
PRUNE2		1.09	6.23
OGN		0.45	11.32
NCS1		18075	6.47
TYRP1		0.63	2.97
MPDZ		3665	15365
PIP5K1B		1.75	11.88
NPDC1		18785	133824
SH3GL2		0.05	1.14
PTGDS		47176	497826
EXOSC3		30095	13.8
ZFAND5		93593	195964
RASSF4		10.33	30.27
RAB11FIP2		2.81	6705
PALD1		2.32	17465
SPOCK2		7905	65405
SFXN3		13785	58.85
NPM3		68936	13.26
FBXL15		5.08	13.67
MAP3K8		10.13	56535
GLRX3		91.11	39611
TFAM		19301	8.55
UBE2S		103741	14475
PPIF		69225	28.43
TBC1D12		1.97	5.91
KRT23		3.19	0.85
RAPGEFL1		27.23	9655
RGS9		1.03	5.1
RNF43		10465	3025
SEP4		5.06	46122
P2RX1		945	10645
TRIM16L		18.73	4895
PIGL		7.98	23165
RASD1		6665	22485
SLC6A4		165	32788
ICAM2		12.5	92638
PSMD11		114566	45.31
HSD17B1		6.01	1.51
EZH1		10.01	43738
SGCA		1285	30275
HDAC5		21.01	46665
LUC7L3		54649	136087
HLF		2355	6525
FAM20A		13825	41879
WSB1		45035	212931
SLC9A3R1		173952	26.95
VTN		215	1475
PMP22		34069	199645
FOXN1		2.28	0.09
NMU		5.3	0.37
GAB1		5.36	12925
WFS1		13175	55853
GALNT7		14.63	6.3
SOD3		9385	151838
TRIM2		18.26	6325
NEIL3		2255	0.12
SH3D19		13.01	53651
RAPGEF2		6.66	25525
SNX25		5.61	20.41
LRP2BP		0.41	4475
FAM149A		1755	7865
NCAPG		9065	0.6
UGDH		44103	16.07
PPARGC1A		0.38	2.85
ZBTB16		0.28	28295
MTCH2		112142	37.57
FNBP4		27.41	78048
VWA5A		9.93	21.58
LPXN		9.63	22335
MS4A6A		43466	88997
MS4A4A		10.72	39.9
PRPF19		99325	40985
TRIM3		5.48	30295
FOLR1		7525	126154
FOLR3		0.28	3.55
IL10RA		8055	28406
GALNT18		15.14	50848
PVRL1		101458	3.61
SLC15A3		43.51	99926
MDK		283253	46325
MADD		13.36	35855
SLC35F2		10.93	3255
TCIRG1		51599	246184
POU2AF1		10675	3.7
VWF		21.3	218925
SELPLG		10705	37184
IL23A		2.69	0.75
LIN7A		0.77	5725
TNS2		13045	194354
LTA4H		59294	126386
MAGOHB		31555	11175
TRPV4		11.36	1805
FOXM1		41879	1.9
MYL2		0.03	3225
RAD51AP1		15445	1455
SH2B3		5.33	20035
SCNN1A		48711	107.41
MGP		119192	1060882
RASAL1		3475	0.36
GTF2H3		18865	8.31
SLC38A1		27.03	10.83
RERGL		0.16	2765
FZD10		4325	0.7
RFC5		20569	6.33
STX2		4355	19525
TIMELESS		21.43	6.37
MRPL51		190334	88489
GAPDH		5543955	1190332
GNB3		1425	3925
USP5		57869	27.23
TPI1		1076251	348689
PHC1		9025	23265
KLRB1		1.53	5405
PAK1IP1		19545	7.71
NEDD9		20644	103317
FAM184A		1185	9.25
MAN1A1		8945	27.95
SERINC1		58046	120254
TPD52L1		94189	13395
FAM65B		1.93	18239
SASH1		3.87	23825
FBXO5		7695	2.64
FANCE		11255	4.17
MCM3		57.97	23515
PHACTR1		2225	12895
FHL5		0.39	10795
KHDRBS2		0.06	1.7
VNN1		685	2.84
VNN2		1.86	16864
GMNN		31895	9.31
SOBP		0.68	2.73
PERP		351224	21.75
PHACTR2		4.57	13115
PHF1		38781	96195
TTK		10.62	0.41
LAMA4		10.97	61422
LY86		5.28	13.29
TBX18		1.7	0.22
SEMA5A		1235	5285
NME5		0.51	2825
KIF20A		13255	685
MRPS30		33531	13.08
HBEGF		15485	40.03
PDE8B		715	4.52
PCDHB15		0.63	3085
ITK		1265	6045
LMNB1		32339	8.73
SUB1		285104	128079
NPR3		3.82	9005
TARS		100649	36785
IRX4		1.11	0
PDE4D		4.2	12965
PCDH12		1.61	10445
NUP155		18545	5.44
PPWD1		11905	29.72
LIFR		2745	21.62
WWC1		10125	24.93
PDGFRB		19.84	103256
HRH2		0.76	3025
TBCCD1		13525	6.03
NPHP3		6515	18.25
FAM162A		149297	33625
PCCB		40559	14.01
RBP2		0.07	3425
RBP1		114932	28789
RNF7		149577	65475
TFDP2		24775	9.75
KAT2B		3.54	13.07
PDCD10		86446	32695
WNT5A		16.3	3885
FGF12		5135	895
USP4		21955	45441
GNAI2		134946	318091
USP9Y		1835	16195
HYAL1		3.33	33351
FXR1		127658	50.39
UMPS		38009	12195
NCBP2		87332	34279
FRMD4B		10.62	24.11
PODXL2		15845	2205
UPK1B		6664	75
MRPL3		116751	32231
PLSCR4		6.71	29986
GORASP1		18.63	58553
VIPR1		4125	170951
ZBTB47		3525	14.39
TNNC1		1635	67316
NKTR		9005	67039
FOXP1		9075	22845
ZAP70		2985	15.81
STEAP3		19345	8.72
EPB41L5		9.31	21.25
SF3B6		144501	71066
GPD2		20.03	9275
TANC1		11765	30161
PSMD14		64126	22.46
PPM1G		94159	46444
SPTBN1		44126	247244
GALNT3		32.11	10015
EVA1A		6885	18525
MRPL19		31.23	11.6
FN1		513848	1336041
STAT1		90408	43676
GLS		25.01	53983
IGFBP2		597335	68945
OTX1		5005	0.11
GNLY		10.72	34373
ST3GAL5		6.9	34.34
HSPE1		276234	108853
IL1R2		4635	19.07
IL1R1		21344	94703
IL1RL1		0.55	89294
IL18R1		1.63	23175
IL18RAP		535	12695
FHL2		35309	14915
MLPH		9979	124163
ID2		31995	111098
HPCAL1		31851	122085
ODC1		112465	44444
NOL10		21.76	9.5
RMDN2		3625	8425
SDC1		382667	51823
SLC1A4		23855	5475
WIPF1		16.71	35885
PNO1		24645	8.91
PLEK		10.09	27.54
TRAK2		7135	16.35
EPAS1		44955	680263
MSH6		34559	11355
PARD3B		1.02	5.52
FARSB		19835	9.1
MARK1		10685	2625
GPX7		18	7705
RALGPS2		5.83	2.23
MRPL37		72.7	35055
QSOX1		66419	202179
ERRFI1		29544	72.98
RHOU		3.65	14.57
MEF2D		16725	39745
LEPR		1945	13685
PRG4		0.18	14904
NCF2		15875	64074
RGS2		34416	110208
UCHL5		27.75	12295
SRSF11		65355	177.81
OLFML3		15.38	54159
ZBTB17		18.4	43025
TTF2		13.56	6
NR5A2		425	1855
KIF21B		815	3725
RP11-268J15.5		1405	6.93
NID1		19455	53.51
MYCL		8.91	1.6
RIMS3		0.85	3115
ST6GALNAC5		1945	6.79
PADI2		1.8	5045
MFAP2		64.94	20.34
SSX2IP		8455	2.47
PLA2G2D		2465	0.19
GBP3		10.24	21891
KIF17		0.76	7035
ID3		53785	152556
SLC2A1		547114	12.43
PIK3R3		6.78	16895
SLC19A2		6.15	15975
FAAH		6685	16395
F3		36685	75795
PTBP2		5.56	12195
HSD11B1		4.32	31881
IRF6		86401	6.56
RSRP1		29.31	145446
STMN1		264467	56635
MAN1C1		4.2	16.83
NEK2		15995	0.43
STX12		19.67	58231
MAR2		7815	42175
SLC5A9		0.12	4.1
RCN2		77377	32615
KIF14		2785	0.14
TNNT2		1.95	16995
MREG		14.36	4.79
USP35		3.14	7505
FILIP1		0.83	6.14
SGIP1		1.71	11525
PLAGL1		8345	29.07
TNFAIP3		19825	43974
RNF146		13375	40269
TCF21		0.57	44441
SLC16A7		0.95	3.02
PKD2		8.7	23.8
SPP1		385142	9414
FAM47E-STBD1		2005	6.47
RARRES1		16.91	35619
UCHL3		43051	18.46
PCDH17		1.99	8935
GDA		1.96	0.06
KLF9		6845	63026
TJP2		20.75	51431
SET		267416	119282
SLC46A2		0.29	5655
NR4A3		1.05	9665
PGF		17905	6475
LTBP2		18735	68164
FLVCR2		2.87	11165
RBM25		30279	61579
FKBP1B		5.55	15.32
EPCAM		180605	57889
PPP1R3C		1815	7335
PYROXD2		2685	9.7
HELLS		10.02	1.55
KCNIP2		0.61	2.36
HOXB5		1345	5.01
HOXB3		4.9	12465
TEK		1.22	24.41
MYCT1		1595	15445
MSANTD2		3245	8865
TP53AIP1		2.04	0.14
PDZD11		55925	24.78
IQSEC3		0.31	3605
SMAD9		0.79	4265
NR2C1		15.1	34695
TMPO		44581	18.3
MTERF2		6.21	14645
SOCS2		13465	45.37
SORBS3		58.58	169406
PTK2B		17.4	44079
PPP3CC		8585	21.45
PDLIM2		28014	104361
LYPLA1		54.5	22.1
RDH10		31989	14744
TRIM25		15475	38.84
TBX2		5.12	97477
TBX4		1295	29.92
NCAPH		19.67	0.94
MND1		7.06	595
KCNJ8		3.84	14.75
ZSCAN18		17385	50139
PDZRN3		3.36	15465
RNF2		18.36	5.97
POPDC2		1.29	4.15
NAA50		131415	42.62
KIF18A		4315	0.65
PILRB		13545	33345
GJB6		36141	0.14
FABP3		7.5	21775
ZNF639		43395	19744
TMEM54		101.57	35515
RASL11A		5.62	18.47
UBL3		9445	20674
FYTTD1		36.76	15.62
XPNPEP2		0.23	1675
SASH3		7335	24195
FMOD		18525	59529
HS3ST2		1.62	5605
ZC3H7A		17925	48.21
LDB3		0.18	3585
FAM213A		67815	19585
SPATA1		515	2265
PQLC1		21905	47476
ZMIZ2		38999	86407
RAMP3		7.18	120973
TWIST1		4405	0.37
GLIPR2		15.57	56339
RECK		2.58	13085
SFTPA1		74269	2799.88
PLAU		88849	19.4
SRGN		85.15	317981
P4HA1		50275	21435
ZWINT		39789	2815
RASSF8		4.04	10675
NECAB1		0.35	2.81
PRDX4		134605	51654
PKN1		43115	94874
NLN		11.4	3105
ITIH5		1.29	16.11
TSFM		38.86	17.13
NCKAP1L		6555	27.04
MMP19		6235	48015
NR4A1		24.51	283203
PDE1B		1.1	7.56
HOXC13		2075	0
LRP1		49256	158698
NFE2		495	8685
SMUG1		43955	20.32
STIL		4.42	0.67
HJURP		11.51	1
METTL8		14.03	4.32
G0S2		12165	86037
PFKFB2		5775	15175
RAB38		23605	4505
MXD4		16155	56275
SLC12A4		16235	70231
PI3		131593	7.62
SLPI		407808	964207
PREX1		7.13	46786
PLCG1		36496	94959
TOX2		4.51	32395
PTGIS		3.01	14.36
SNAI1		3165	13.2
STX16		26329	54515
XG		3.57	0.46
STAMBP		44815	21025
POF1B		6145	0.57
HIF3A		0.92	50.27
LYPD3		76317	1.62
F13A1		6925	24755
SERPINB6		57605	155.68
PRICKLE4		3.74	15435
MOCS1		3.78	27319
MED20		14.72	6665
GNMT		345	1.69
TREM1		13515	64852
SOX4		30999	9515
KCNK17		0.37	6.31
SSR1		87114	37639
RPP40		12005	2.56
LRRFIP1		34085	96592
RAB17		4.66	28884
EREG		0.19	2.04
MYRF		1.64	28819
SH3TC1		6.47	26865
MT2A		206127	886636
GOT2		65869	30.13
SOX21		6265	0.04
IRF1		38766	83198
PTGER2		915	5415
SOX9		10495	3.06
SLC25A35		3.29	7.78
GGA3		16.63	40.53
PPP1R12C		33774	143498
POLR1B		10.79	4.6
TRIP10		32644	123703
TNFSF14		545	2625
FOSB		7.62	25725
SNRPD2		425804	182638
GPCPD1		13405	36.95
FOXA2		665	10.43
SNRPB		297119	115303
FLRT3		3825	12995
PCSK2		0.11	1.48
MKKS		28779	13.17
MGME1		21.36	7975
LRRN4		0.25	7465
MCM8		8085	2.15
TMEM74B		1.46	21.96
S1PR4		1.97	13415
ZNF436		9305	3.9
MMP24		0.47	3875
ID1		82847	184982
ROMO1		233591	111364
FAM83C		3215	0.01
KLC1		46736	115335
MCF2L		8265	35799
F10		855	14164
PDCD2L		13.47	4505
FFAR2		615	3505
HCST		18989	42591
THRA		10.92	32.89
RRAS		43265	179227
SBDS		56359	120437
STAT5A		9365	29.3
GLIS2		7.95	26385
SIX1		7495	0.55
RHOJ		2.28	18.53
L3HYPDH		9.33	20999
HSPA2		4.87	13315
TRMT5		7105	2.99
EVI2A		6.82	17345
OMG		595	10025
FAM78A		2045	6.46
TIMM8A		8.36	2815
ZC4H2		1405	4.85
RGS13		0.35	1835
OMD		785	4.09
FGD3		3.49	13715
MASP1		465	4.54
HRASLS		3.7	0.21
TSPAN8		3575	21919
PTPRB		2215	33791
YEATS4		22355	7.99
IDUA		6045	25.86
FGFRL1		6525	16.2
TMEM175		15.03	39446
PLA2G5		1.12	6935
SIN3B		17305	59804
KLF2		4335	78045
F2RL3		815	20764
PKMYT1		21.88	2315
MACF1		47821	239801
TNFRSF19		4035	9.43
GNG11		4295	36036
SHFM1		345477	114785
HIP1		7665	21.27
FGL2		5315	11885
STYXL1		49.76	22785
STEAP4		2905	17.75
MTERF1		9.41	4.11
SGCE		13495	35.73
ZFP36		107079	817542
PAICS		68329	12845
KDR		3.28	24.73
PPAT		8.85	1.87
TUBGCP6		12345	40.75
VPREB3		2.86	0.38
GAL3ST1		315	1835
POM121L9P		0.26	1.8
MGAT3		1.41	6875
RIBC2		2.21	0.57
KRT17		1767261	4.76
RNF112		0.3	3555
PODXL		9.26	72078
FLNC		1.29	6.89
LRRC4		5215	1905
SMO		16.49	3769
FEZF1		1.27	0.02
MRPS12		64.85	22.82
MTX2		45.69	17665
GAD1		1.87	315
ORMDL1		34345	70614
HOXD10		3.16	0.07
HOXD11		3.52	0
HOXD13		2165	0
WDFY4		2155	7.5
MYO5C		3.91	12395
KNSTRN		26.16	7.37
VPS13C		10.44	28989
LOXL1		45.97	20695
SOX15		22634	1305
FAM64A		10.49	0.45
PLD2		15285	33.35
TXNDC17		183386	62741
KIF1C		27656	84059
LRRC6		1525	4875
SLC44A2		67325	141102
SIGLEC9		1805	7865
KLK8		5.64	0.11
RIPK3		4.82	15.75
RNASE1		149333	854744
EPB41L4A		2495	8525
FOXJ1		1015	3065
SEC14L1		29.91	88618
SGOL1		4.01	0.29
RPS4Y1		60719	273566
SHC2		4.76	38.47
GAMT		20031	8225
KCNA5		0.08	1805
STARD8		1.3	20386
SAT1		565192	1403437
TOMM40		68426	28969
GADD45G		5.39	21.53
LRCH2		0.43	2.71
SAFB2		25.57	56559
USHBP1		0.57	11.12
LSM7		137.02	67.58
MLLT4		26054	82589
STK33		2205	6115
GDF15		13.31	31841
KIAA1683		555	3.54
LSM4		160574	70426
JUND		58.32	196978
HRC		0.19	1.96
ZBTB46		1.49	5685
TNNT3		885	3.3
TNNI2		1815	9.93
PNPLA7		0.78	6.91
GATA5		0.09	1.81
RBBP8NL		2	0.16
LAMA5		76164	241921
POMT1		11.54	25335
FIBCD1		0.57	2.8
GMFG		30.36	138452
THEMIS2		16755	63162
SLC6A8		132922	9.94
PNCK		15655	725
MPP1		11785	54.05
ZNF331		6525	39.58
NOL11		36955	17.68
HABP4		4.08	11495
PRRG1		1.45	5.04
RGN		925	19.34
TXLNGY		2.75	17.13
ULBP2		9235	3.26
SYNE1		5435	64.5
ULBP3		3195	0.6
LILRB2		4665	23.01
RBM39		132013	279343
HIGD1B		2.38	45.15
ZNF141		2.72	7.68
GSE1		10875	27.99
GINS2		10705	0.59
F12		8775	0.8
MRPS25		22.78	47781
SH3BP5		11.83	74845
RFTN1		10.04	48346
GALNT15		0.67	5.82
NAPSA		35221	846666
LRRC4B		0.38	3575
PDLIM4		33175	10865
GFPT2		5.25	21135
TUBG1		51369	21.35
PSME3		78729	37869
RAMP2		17765	149909
TMEM204		7295	68704
KREMEN2		2.43	0.09
NPHP4		3715	8.53
TNS4		34536	0.42
TOP2A		42223	1.98
STARD3		37.37	78452
RARA		17.87	58205
PPP1R1B		3.81	11015
KHDRBS3		5.52	12735
FMO5		1.51	11921
RAI2		3.09	29746
NR0B2		0.07	1315
FAAP24		4905	1.16
MATN3		2035	7425
SPATA6		1.69	5.26
RAF1		37825	78294
PPARG		7.39	20644
TRIM22		25.61	100492
MRPL35		32666	12.79
PTPRE		6285	25305
RAN		764964	259519
INPP5K		18.12	50506
PNISR		26.99	118722
POPDC3		3.31	0.45
FIGNL1		9.98	2505
ITGB4		198954	19.77
ZRANB2		26645	67165
KDM6B		10.49	23.67
SLC52A1		2235	295
XAF1		13.91	43984
RGS22		185	1465
NIP7		26109	9.58
HSPA12B		1.37	19.78
PCED1A		19475	42194
PCNA		148035	36741
NES		6.44	39545
RAB25		124456	50876
SYT11		2.77	7645
MTL5		5.55	0.69
VSTM2L		2.04	9.82
WASF3		1.41	7.21
MYH10		13.92	69.11
MPRIP		47644	129086
PIK3C2B		5015	11.37
TRPC4		0.31	1.72
POSTN		92135	34185
KL		0.19	3.05
RFC3		10.42	4.3
STARD13		1665	14.5
TCEAL4		71238	152239
SLC39A11		26764	9455
EPHB2		5955	1.76
PRAM1		1335	16.74
RARRES3		43899	132839
MYH11		9.92	133954
PDZD2		1.84	12.38
GSTT2B		5.32	14375
FAM83F		11.81	0.15
SEC14L4		0.81	2.65
GIMAP6		4.19	26.23
GIMAP4		11.44	53524
ZNF767P		4.69	15.1
NTS		25595	0.54
SFTPD		14.18	317089
TMEM254		25	11.66
SPINK5		4.95	1525
LYVE1		1.61	40186
MICAL2		11585	27085
HSD17B4		72248	167729
ZFC3H1		9925	37294
RNF122		7.24	19.9
NUMB		28.18	65.65
PEBP4		1.79	83664
IRAK2		2435	5935
PRPF38B		18775	40461
GSTM5		1305	15.11
PTPN22		1.5	5265
SORT1		13085	38925
WNT2B		2.19	5525
PTGFRN		56189	11.83
VTCN1		5.57	0.07
YWHAQ		276655	134335
GRHL1		14645	3.13
ROCK2		7.48	18.78
LPIN1		6.9	21825
LDHA		828695	300443
IL6ST		12655	56525
FST		28185	6845
IL15RA		16295	50.5
KCTD1		32785	4805
RERG		3495	13655
KLRD1		1.46	4.11
STK26		14505	4665
PIWIL4		885	3065
SPOCD1		2.78	10.35
PHC2		49075	128845
FHOD3		4464	1.12
SLC43A3		19028	61114
TIMM10		61165	28215
PDGFRA		7.63	47.2
ERCC5		18835	44865
ETS1		17.85	64955
NREP		34324	13.74
TMEM2		20.08	88269
GOLM1		32434	12295
FAM189A2		1405	30.91
PSAT1		38269	2215
HAVCR2		6.14	15305
TAOK3		9915	22365
MSI1		2.46	0.43
TBX3		4615	36515
TMEM243		17.88	57721
HILPDA		31714	11.29
MRAP2		3.92	0.57
LMO2		5825	35428
PRRG4		14.61	4.15
ITGA7		2.6	28574
RDH5		1545	7465
TROAP		34779	1685
PAN2		16.31	60.4
ESPL1		5775	0.9
KRT7		38898	409593
SLC26A10		945	5885
MAP7		17.4	4.98
MICAL1		10795	77629
STX11		3925	22515
TEC		985	3.21
KCNMB4		1705	5935
USP15		27.29	64.76
KIAA0513		3.27	7.9
FBXL8		5075	15085
FHOD1		12365	100705
SLC9A5		505	2.91
KCNK1		21.55	4.71
NTPCR		67211	29.26
KIAA1614		1.15	3635
SLC19A3		0.48	7.3
SERPINE2		40.47	9885
ISCU		73299	152.9
USP44		0.53	2.33
PLXNC1		3.89	9.11
VILL		3.55	8465
NEK3		4685	16.48
THSD1		2.22	10665
LRCH1		4985	13.4
PHF11		20.71	52.67
LMO7		29.19	170283
SCEL		3515	41965
SPRY2		11915	30.75
TNS3		13.42	41629
IGF2BP3		12485	675
GPNMB		373586	91025
RAPGEF5		7.86	32446
IL6		9005	27099
NACAD		0.74	2.61
MYO1G		4.7	22855
NKX2-1		2.03	61545
TM6SF1		1.83	11055
RSAD1		14975	32581
NDUFB5		153542	50885
MRPL47		81275	22.39
SCN7A		385	24.83
HLX		5.36	26425
IL36G		3.29	0.06
IL1RN		43164	11935
IL36RN		2.03	0.01
HS6ST1		40696	18635
GYPC		15155	104658
TXN		392976	175046
SMC2		9345	2.79
KLF4		24365	88159
ST6GALNAC4		17465	37914
TMOD1		1225	14.64
STXBP1		11.32	38534
TLR4		2.69	13015
MYC		79853	37.14
IL33		5.81	25829
IL11RA		4.66	27.01
TLN1		89765	252676
SPAG8		0.72	4.43
PPIL1		34651	11.39
GMPR		3.78	13.08
TFAP2A		21125	0.39
FOXF2		4.92	17.16
TUBB2B		4.21	1315
UQCC2		107533	38869
HMGA1		273708	39789
TCF19		14.37	4.06
RNF144B		8745	23.4
FGFBP1		48819	2.32
FGFBP2		765	4.12
TLR2		6575	32.36
FCHSD2		11145	23665
SLCO2B1		11.47	62335
IL18BP		12055	31.67
SYTL2		7.12	20085
LRRC32		9535	109326
MRPL15		58086	23784
GGH		48.98	7.25
SULF1		47735	11235
SDCBP		93935	207979
TMPRSS4		126622	1.05
TRPC6		1325	12.24
MMP7		36724	5.67
TRIM29		300037	5125
FXYD6		19.96	88113
MMP13		3.48	15
TMPRSS13		13065	2715
THBS1		31725	295639
NUSAP1		33825	3.56
KIF23		18035	2275
ITGA11		3795	1.39
PAQR5		2.17	5455
UACA		12.73	44558
SMAD6		2705	34045
PLCB2		7.1	47086
PAK6		6.15	0.9
STRA6		4.5	0.23
GCOM1		0.26	2.86
TTLL7		1645	5055
GIPC2		0.23	1.49
IFI44		19.52	40.12
SLC44A5		3465	0.17
EPT1		12.44	4.39
KIF11		11.32	0.71
TACC2		24755	61896
KIF20B		3.72	1045
PLCE1		1455	8875
RBP4		1525	15265
GPR87		43075	95
STAT4		1.84	7.48
HECW2		1.23	8525
OLA1		108.6	33066
FAM117B		6785	2485
WDR12		42105	14405
SLC40A1		30045	68785
SECISBP2L		6095	18.43
FAM13A		7185	18.09
RASGEF1B		5875	19.03
FGF2		0.88	5.05
KIAA1109		8.41	31.62
MMRN1		0.91	14.14
PDE5A		2865	14595
PRDM5		1395	4735
SHROOM3		3.35	9225
SLC39A8		10675	99604
FBN2		1.63	0.21
MAPK8IP3		15.94	73.31
RGS3		21385	64.61
PARVG		8105	48025
GABARAPL1		48734	127689
KIF21A		11905	3.79
YARS2		22309	8.73
FGD4		2425	9045
FAM60A		61605	19.13
ZCRB1		58971	28.67
TMEM117		7675	1485
VAMP1		4435	12805
TMEM19		24.43	8585
PTPRQ		0.14	1445
TMTC3		12235	3.4
SNRPF		50.46	21775
GLTP		66883	26616
SLC46A3		4.13	10.01
SLC7A1		14895	4.69
N4BP2L1		6.39	27259
MAP3K12		4735	29.1
GALNT6		10.66	3235
LMBR1L		18.19	67179
RHOF		6.99	16675
SLAIN1		2075	6.23
MBNL2		12345	26394
RAB20		12.3	34.99
GRTP1		13305	5.28
SSTR1		145	3965
FRMD6		27814	7.34
RTN1		2.06	8825
STON2		12985	4.72
GPR65		0.8	2.77
JDP2		17125	48.9
FBLN5		9885	175824
SORD		26349	4795
FGF7		3.31	23115
HDC		1115	10935
GCNT3		1.68	0.3
GTF2A2		124896	60854
PSTPIP1		6.29	18.07
NEIL1		5495	38.63
MAN2C1		46728	244162
TPM1		107716	271742
RHCG		15124	0.33
FANCI		23075	3575
TICRR		3845	0.52
NTRK3		0.16	5.33
MFGE8		72473	202938
ITGAX		8565	97954
TGFB1I1		15185	67444
NKD1		535	6585
MARVELD3		10.54	2.47
NLRC5		15.06	40995
KIFC3		16255	56404
TLDC1		10.03	4.51
IRF8		5545	19275
RHOT2		49976	118352
TCF25		68721	142982
MYOCD		0.06	2295
KSR1		16065	40765
SGSM2		17.15	58985
PTRH2		30.32	13.23
SLC39A6		41.4	13255
GALNT1		45526	18.22
GATA6		1865	14.99
SLC14A1		0.29	2.69
ZMYND15		1425	7.77
MINK1		35005	83876
SAT2		44.03	91277
PIK3R5		2.58	26635
TP53		33204	15.31
ZNF750		13.43	1575
MAPK4		0.19	1795
ZCCHC2		6.14	14.1
PMAIP1		19325	3.06
P3H4		20564	7135
PNMT		0.21	4335
TPGS1		3.19	10745
PPAP2C		73409	6905
TMEM91		9715	22.97
IFITM3		599202	1545383
SIK1		2675	9.04
TMEM50B		19.45	56596
WTIP		4.8	16965
MYO1F		6705	55088
NLRP12		0.07	1.19
SLC2A5		2985	895
RERE		18.81	42.34
MMEL1		1.23	4.91
PRDM16		0.45	3.59
PADI3		1.7	0
IL22RA1		2.21	545
EVA1B		11415	36.68
PLK4		6755	1265
MAP3K6		24.08	112.36
FCN3		3.17	616496
TINAGL1		35538	115072
KIF2C		17.16	1.03
PTPRF		128671	37.1
SYPL2		0.12	1.42
IGSF3		22765	4705
ITGA10		0.37	16.6
RXRG		0.19	2.28
UCK2		41704	11105
TMCO1		116311	46301
PVRL4		35.31	3925
FCGR2A		26875	78465
NUF2		14825	0.82
RGS5		14.24	33011
PFDN2		143722	69852
MRPL24		91839	43155
ISG20L2		31325	14.53
HDGF		288094	134191
XPR1		23.92	8.41
HMCN1		4245	18.87
RGL1		6235	17.54
RORC		1105	5.8
TUFT1		23155	8195
MCL1		122674	267.89
SELENBP1		14.24	159597
HORMAD1		2.99	0.25
INTS7		14155	5825
SUSD4		21.41	1.82
SLC27A3		27605	82564
S100A7		21.35	0.24
ILF2		207.36	92.27
LYST		4.94	14.32
LEFTY2		0.09	1.43
PARP1		75735	31004
SOX13		15.7	47225
ETNK2		13745	3515
OSR1		1715	14415
PDIA6		256.31	107.82
RHOB		69.92	307533
SNRPG		206922	76077
MEIS1		8475	38.1
