Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
SPANXN5		9	9	1.1	No
PJVK		9	9	1.1	No
NPS		9	9	1.1	No
INSYN2A		9	9	1.1	No
KRTAP27-1		9	9	1.1	No
SH2D7		9	9	1.1	No
ACADL		8	8	1.0	No
ACO1		8	8	1.0	No
ACTB		8	8	1.0	Yes
ACTL6A		8	8	1.0	No
ADCYAP1		8	8	1.0	No
ADH1B		8	8	1.0	No
AP1B1		9	8	1.0	No
TLE5		8	8	1.0	No
AGXT		8	8	1.0	No
ALOX5		9	8	1.0	No
ALPL		8	8	1.0	No
SLC25A5		9	8	1.0	No
APBB2		8	8	1.0	No
APEH		8	8	1.0	No
BIRC3		11	8	1.0	Yes
AQP6		8	8	1.0	No
ARG1		8	8	1.0	No
ARHGAP4		11	8	1.0	No
ARHGDIB		8	8	1.0	No
ARR3		8	8	1.0	No
ARSB		8	8	1.0	No
ART4		8	8	1.0	No
ASS1		8	8	1.0	No
ATP6V1B2		8	8	1.0	Yes
ATP6V1C1		9	8	1.0	No
AZU1		8	8	1.0	No
BACH1		8	8	1.0	No
BCKDHB		8	8	1.0	No
BTD		8	8	1.0	No
CA6		8	8	1.0	No
CACNB4		8	8	1.0	No
CAPN1		8	8	1.0	No
CASP2		8	8	1.0	No
CCNA2		8	8	1.0	No
CCNB1		8	8	1.0	No
CD80		10	8	1.0	No
CFL1		8	8	1.0	No
CHGA		8	8	1.0	No
CHRND		8	8	1.0	No
CNR2		8	8	1.0	No
COL8A2		8	8	1.0	No
CPE		8	8	1.0	No
CPOX		8	8	1.0	No
CPT2		8	8	1.0	No
CRHBP		8	8	1.0	No
CRYM		8	8	1.0	No
CSNK1D		8	8	1.0	No
CST1		8	8	1.0	No
CTSS		8	8	1.0	No
CYP2D6		8	8	1.0	No
CYP2J2		8	8	1.0	No
CYP21A2		8	8	1.0	No
DIAPH1		8	8	1.0	No
DLAT		8	8	1.0	No
DNM1		8	8	1.0	No
DMWD		10	8	1.0	No
DNTT		8	8	1.0	No
RCAN1		8	8	1.0	No
DTX1		8	8	1.0	Yes
ECM2		8	8	1.0	No
DUSP9		8	8	1.0	Yes
EGR3		8	8	1.0	No
EIF2B1		8	8	1.0	No
ETFDH		8	8	1.0	No
ETV5		9	8	1.0	Yes
F2R		8	8	1.0	No
FAAH		8	8	1.0	No
FABP1		8	8	1.0	No
ACSL1		8	8	1.0	No
EFEMP1		8	8	1.0	No
FCER2		8	8	1.0	No
FGF12		8	8	1.0	Yes
FOXF1		8	8	1.0	Yes
FPR1		8	8	1.0	No
FTH1		8	8	1.0	No
GABPB1		8	8	1.0	No
GALNS		8	8	1.0	No
GALNT1		8	8	1.0	No
GAS6		8	8	1.0	No
GCNT2		8	8	1.0	No
GFAP		8	8	1.0	No
GLRA1		8	8	1.0	No
GNA12		8	8	1.0	Yes
GNB3		8	8	1.0	No
GNL1		8	8	1.0	No
GPD1		8	8	1.0	No
GPR31		8	8	1.0	No
GPS1		8	8	1.0	No
GSN		8	8	1.0	No
GSTA1		8	8	1.0	No
GTF2I		8	8	1.0	Yes
GUCY2D		8	8	1.0	No
HARS		8	8	1.0	No
HAS3		8	8	1.0	No
HDAC1		8	8	1.0	Yes
HLA-DQA2		8	8	1.0	No
HLA-DRA		8	8	1.0	No
HNRNPL		8	8	1.0	No
AGFG1		8	8	1.0	No
PRMT2		8	8	1.0	No
HSF2		8	8	1.0	No
HSPD1		8	8	1.0	No
ICAM1		8	8	1.0	No
IL1R1		8	8	1.0	No
IL17A		8	8	1.0	No
FOXK2		8	8	1.0	No
IMPA1		8	8	1.0	No
INSIG1		8	8	1.0	No
ITGAL		8	8	1.0	No
IVL		8	8	1.0	No
JUN		8	8	1.0	Yes
JUND		8	8	1.0	No
KCNC4		8	8	1.0	No
KCNJ6		8	8	1.0	No
KCNJ11		8	8	1.0	No
KCNK1		8	8	1.0	No
KIR2DS4		8	8	1.0	No
KLK1		8	8	1.0	No
KIF11		8	8	1.0	No
KPNA1		8	8	1.0	No
KRT17		8	8	1.0	No
KRT32		8	8	1.0	No
LMAN1		8	8	1.0	No
LTA		8	8	1.0	No
SMAD9		8	8	1.0	No
CD46		8	8	1.0	No
MDM2		8	8	1.0	Yes
MIPEP		8	8	1.0	No
MLF1		8	8	1.0	Yes
MPL		8	8	1.0	Yes
MRE11		8	8	1.0	Yes
MSH2		8	8	1.0	Yes
MTHFR		8	8	1.0	No
MTM1		8	8	1.0	No
MTNR1A		8	8	1.0	No
MTX1		8	8	1.0	No
CEACAM6		8	8	1.0	No
NCK1		8	8	1.0	No
NCL		8	8	1.0	No
NDUFB5		8	8	1.0	No
NKX6-1		8	8	1.0	No
NPTX1		8	8	1.0	No
NSF		8	8	1.0	No
NT5E		8	8	1.0	No
GPR143		8	8	1.0	No
ORC2		8	8	1.0	No
P2RY6		8	8	1.0	No
FURIN		8	8	1.0	Yes
PDCL		8	8	1.0	No
PDE6H		11	8	1.0	No
PLAU		8	8	1.0	No
PLIN1		8	8	1.0	No
PLK1		8	8	1.0	No
FXYD1		8	8	1.0	No
PRRX1		8	8	1.0	Yes
POLE2		8	8	1.0	No
POU4F3		8	8	1.0	No
PPP2R1B		8	8	1.0	No
PPP2R2B		8	8	1.0	No
PREP		8	8	1.0	No
PRG2		8	8	1.0	No
PRKAR1A		8	8	1.0	Yes
PRKAR1B		8	8	1.0	No
PRKCD		8	8	1.0	No
PSMD7		8	8	1.0	No
PSPH		8	8	1.0	No
RAD1		8	8	1.0	No
RAD17		8	8	1.0	No
RAP1GDS1		8	8	1.0	Yes
RARB		8	8	1.0	No
RBBP8		8	8	1.0	No
RCN1		8	8	1.0	No
RCVRN		8	8	1.0	No
RENBP		8	8	1.0	No
RFC5		8	8	1.0	No
SCNN1D		8	8	1.0	No
SRSF2		8	8	1.0	Yes
SRSF7		8	8	1.0	No
TRA2B		8	8	1.0	No
SFTPB		8	8	1.0	No
SH3GL1		8	8	1.0	Yes
SIX1		8	8	1.0	Yes
SLC2A4		8	8	1.0	No
SLC7A4		8	8	1.0	No
SLC10A1		8	8	1.0	No
SLC20A2		8	8	1.0	No
SNRPA		8	8	1.0	No
SNX1		8	8	1.0	No
SOX10		8	8	1.0	Yes
SPAG4		11	8	1.0	No
SPIB		9	8	1.0	No
SPP2		8	8	1.0	No
SST		8	8	1.0	No
SSTR5		8	8	1.0	No
SSX1		8	8	1.0	Yes
HSPA13		8	8	1.0	No
STK4		8	8	1.0	No
SUV39H1		8	8	1.0	No
TAF5		8	8	1.0	No
TAF9		8	8	1.0	No
TBCE		9	8	1.0	No
TCF12		8	8	1.0	Yes
TRGC1		8	8	1.0	No
TRGV4		8	8	1.0	No
THBS1		8	8	1.0	No
THRB		8	8	1.0	No
TLR1		8	8	1.0	No
TSPAN8		8	8	1.0	No
TNFAIP2		8	8	1.0	No
TNNT1		8	8	1.0	No
TPBG		8	8	1.0	No
TRPC6		8	8	1.0	No
TTR		8	8	1.0	No
TULP1		8	8	1.0	No
TYRP1		8	8	1.0	No
UBB		8	8	1.0	No
UCP1		8	8	1.0	No
SLC35A2		8	8	1.0	No
UGDH		8	8	1.0	No
UGT2B7		9	8	1.0	No
UVRAG		8	8	1.0	No
VASP		8	8	1.0	No
YES1		9	8	1.0	Yes
ZBTB14		8	8	1.0	No
ZNF7		8	8	1.0	No
ZNF19		8	8	1.0	No
ZNF182		9	8	1.0	No
ZNF76		8	8	1.0	No
TRIM25		8	8	1.0	No
ZNF157		9	8	1.0	No
ZNF189		11	8	1.0	No
ZNF232		8	8	1.0	No
SLC30A4		8	8	1.0	No
ZP3		8	8	1.0	No
NPHS2		9	8	1.0	No
RNF103		8	8	1.0	No
SLMAP		8	8	1.0	No
ST7		8	8	1.0	No
ARHGEF5		8	8	1.0	No
TUSC3		8	8	1.0	Yes
MFAP5		8	8	1.0	No
COLQ		8	8	1.0	No
FZD7		8	8	1.0	No
FZD8		8	8	1.0	No
HIST1H3D		11	8	1.0	Yes
HIST1H4K		8	8	1.0	No
HYAL3		8	8	1.0	No
SOAT2		8	8	1.0	No
DYRK3		8	8	1.0	No
TPST1		8	8	1.0	No
KCNAB2		11	8	1.0	No
BLZF1		8	8	1.0	No
MAPKAPK5		11	8	1.0	No
NOP14		8	8	1.0	No
PLPP3		8	8	1.0	No
IRS2		8	8	1.0	Yes
EIF3F		8	8	1.0	No
SERPINB7		9	8	1.0	No
RNGTT		8	8	1.0	No
CCNK		8	8	1.0	No
NR1I2		8	8	1.0	No
CDC123		8	8	1.0	No
ZPR1		8	8	1.0	No
DOK2		8	8	1.0	No
SLC13A2		8	8	1.0	No
ANGPTL1		11	8	1.0	No
NMI		8	8	1.0	No
ATP6V0D1		8	8	1.0	No
PRPF3		8	8	1.0	No
CYTH2		8	8	1.0	No
GPR55		9	8	1.0	No
TRIP10		8	8	1.0	No
SLC22A6		8	8	1.0	No
CPNE6		8	8	1.0	No
NTN1		8	8	1.0	No
CDYL		8	8	1.0	No
HAND2		8	8	1.0	No
IL27RA		8	8	1.0	No
PCYT1B		8	8	1.0	No
NAPSA		8	8	1.0	No
ONECUT2		10	8	1.0	No
CHST10		8	8	1.0	No
PIGL		8	8	1.0	No
GAL3ST1		8	8	1.0	No
GDF15		8	8	1.0	No
VPS4B		8	8	1.0	No
PRDX6		8	8	1.0	No
WTAP		9	8	1.0	No
RAB36		8	8	1.0	No
TCL1B		8	8	1.0	Yes
FAM53B		8	8	1.0	No
NUP93		8	8	1.0	Yes
PRORP		8	8	1.0	No
MLEC		8	8	1.0	No
SCRN1		8	8	1.0	No
IQSEC1		8	8	1.0	No
DCLRE1A		8	8	1.0	No
RBM8A		8	8	1.0	No
WDR1		8	8	1.0	No
DMTF1		8	8	1.0	No
HDAC6		8	8	1.0	No
PDCD6IP		8	8	1.0	No
CHAF1A		8	8	1.0	No
RANBP9		8	8	1.0	No
GJC1		10	8	1.0	No
LPCAT3		10	8	1.0	No
LHFPL6		8	8	1.0	No
USPL1		8	8	1.0	No
LRRC17		8	8	1.0	No
STAM2		8	8	1.0	No
SF3B4		8	8	1.0	No
IRX5		8	8	1.0	No
TNIP1		8	8	1.0	No
MRVI1		8	8	1.0	No
YAP1		8	8	1.0	Yes
ARIH2		8	8	1.0	No
TIMM17A		8	8	1.0	No
TAB1		8	8	1.0	No
HAX1		11	8	1.0	No
TM9SF1		8	8	1.0	No
SLC19A2		8	8	1.0	No
SLU7		8	8	1.0	No
TBL3		8	8	1.0	No
STAMBP		8	8	1.0	No
DLL3		8	8	1.0	No
OGA		8	8	1.0	No
WDR4		8	8	1.0	No
ZNF268		8	8	1.0	No
FRS3		8	8	1.0	No
PPP1R17		8	8	1.0	No
NMU		8	8	1.0	No
LMAN2		8	8	1.0	No
FERMT2		8	8	1.0	No
SLC27A4		8	8	1.0	No
PIM2		8	8	1.0	No
OGFR		8	8	1.0	No
STMN2		8	8	1.0	No
WDR45		8	8	1.0	No
PTP4A3		8	8	1.0	No
HRH3		8	8	1.0	No
KLHL2		8	8	1.0	No
TMC6		8	8	1.0	No
U2AF2		8	8	1.0	Yes
PUF60		8	8	1.0	No
TRAK1		8	8	1.0	No
MAPRE1		8	8	1.0	No
ATF6		8	8	1.0	No
ENDOD1		8	8	1.0	No
RAP1GAP2		8	8	1.0	No
COLGALT2		8	8	1.0	No
RAD54L2		8	8	1.0	No
SSPO		8	8	1.0	No
NCDN		8	8	1.0	No
ABRAXAS2		8	8	1.0	No
SEL1L3		8	8	1.0	No
EXOC6B		8	8	1.0	No
SYNM		8	8	1.0	No
PHF24		8	8	1.0	No
CRTC1		8	8	1.0	Yes
ADNP		8	8	1.0	No
TMED3		8	8	1.0	No
SLC7A8		8	8	1.0	No
GPR161		8	8	1.0	No
SLC39A14		8	8	1.0	No
MTREX		8	8	1.0	No
TNPO3		8	8	1.0	No
AMACR		8	8	1.0	No
RABGAP1		8	8	1.0	No
TRIM29		8	8	1.0	No
FLRT1		8	8	1.0	No
SLC39A6		11	8	1.0	No
POU2F3		8	8	1.0	No
BRMS1		8	8	1.0	No
TMEM186		8	8	1.0	No
ZDHHC5		8	8	1.0	No
PTPN23		8	8	1.0	No
WWTR1		8	8	1.0	Yes
NECAP1		8	8	1.0	No
TSKU		9	8	1.0	No
GORASP2		8	8	1.0	No
SENP6		8	8	1.0	No
EPC2		8	8	1.0	No
IRF2BP1		8	8	1.0	No
OR1A2		9	8	1.0	No
PHGDH		8	8	1.0	No
OPTC		8	8	1.0	No
TSPAN17		8	8	1.0	No
EHF		8	8	1.0	No
GBGT1		8	8	1.0	No
DAZAP1		12	8	1.0	No
SH3YL1		8	8	1.0	No
STEAP1		8	8	1.0	No
SMR3A		8	8	1.0	No
HBP1		8	8	1.0	No
PKD2L2		8	8	1.0	No
INPP5J		8	8	1.0	No
CYTH4		8	8	1.0	No
RSPH14		8	8	1.0	No
TUBGCP4		8	8	1.0	No
GPKOW		8	8	1.0	No
POLL		8	8	1.0	No
SLCO3A1		8	8	1.0	No
TRBV27		8	8	1.0	No
TRBV5-5		10	8	1.0	No
IGKV3D-15		8	8	1.0	No
IGKV2D-30		9	8	1.0	No
IGKV3-11		8	8	1.0	No
CCDC22		8	8	1.0	No
MRPS28		8	8	1.0	No
DCPS		8	8	1.0	No
ZBTB44		8	8	1.0	No
CCDC113		8	8	1.0	No
TIMM21		8	8	1.0	No
FHOD1		9	8	1.0	No
MYLIP		8	8	1.0	No
TRA2A		8	8	1.0	No
GPR171		8	8	1.0	No
GMPPA		8	8	1.0	No
ALG6		8	8	1.0	No
PSAT1		8	8	1.0	No
PACSIN1		8	8	1.0	No
RAX		8	8	1.0	No
PLA2G2E		8	8	1.0	No
KCNIP3		8	8	1.0	No
EHD4		8	8	1.0	No
EHD2		8	8	1.0	No
PLA2G3		8	8	1.0	No
CUZD1		8	8	1.0	No
TAS2R3		8	8	1.0	No
YARS2		8	8	1.0	No
KLHL5		8	8	1.0	No
ING4		8	8	1.0	No
SERPINA10		8	8	1.0	No
CCDC174		8	8	1.0	No
TFDP3		9	8	1.0	No
NRN1		8	8	1.0	No
ARMCX1		8	8	1.0	No
MEX3C		8	8	1.0	No
ZNF117		8	8	1.0	No
EIF3L		8	8	1.0	No
PRKAG2		10	8	1.0	No
PCYOX1		8	8	1.0	No
LCMT1		8	8	1.0	No
RTCB		8	8	1.0	No
RTF2		8	8	1.0	No
DTL		8	8	1.0	No
LARS		8	8	1.0	No
GDE1		8	8	1.0	No
TRMT6		8	8	1.0	No
DPH5		8	8	1.0	No
EMCN		8	8	1.0	No
CYB5R1		8	8	1.0	No
ADA2		8	8	1.0	No
GDAP1		8	8	1.0	No
FBXW5		8	8	1.0	No
MIER2		8	8	1.0	No
GNB1L		8	8	1.0	No
UGT1A4		8	8	1.0	No
NUTM2F		9	8	1.0	No
GIPC2		10	8	1.0	No
PAQR5		8	8	1.0	No
GDPD2		8	8	1.0	No
TMEM214		8	8	1.0	No
RETSAT		8	8	1.0	No
RNF43		8	8	1.0	Yes
YTHDF1		8	8	1.0	No
BANP		8	8	1.0	No
MOCOS		8	8	1.0	No
EPN3		8	8	1.0	No
SUSD4		8	8	1.0	No
SPATA6L		8	8	1.0	No
WDYHV1		8	8	1.0	No
AGGF1		8	8	1.0	No
PRPF38B		8	8	1.0	No
FANCL		8	8	1.0	Yes
TRIM68		8	8	1.0	No
WRAP53		8	8	1.0	No
ANKZF1		8	8	1.0	No
DALRD3		8	8	1.0	No
ATAD3A		8	8	1.0	No
LRRC1		8	8	1.0	No
STEAP3		8	8	1.0	No
PCMTD2		8	8	1.0	No
TMEM39A		8	8	1.0	No
VPS53		8	8	1.0	No
PLCXD1		9	8	1.0	No
HJURP		8	8	1.0	No
TMEM176A		8	8	1.0	No
NCBP3		8	8	1.0	No
FEM1A		8	8	1.0	No
TRMT1		8	8	1.0	No
LYAR		8	8	1.0	No
ZNF692		8	8	1.0	No
ZNF446		8	8	1.0	No
LIMS2		8	8	1.0	No
KANSL3		8	8	1.0	No
HHAT		8	8	1.0	No
ZNF839		8	8	1.0	No
LRP2BP		8	8	1.0	No
FOXJ2		8	8	1.0	No
PLGRKT		8	8	1.0	No
PSENEN		8	8	1.0	No
BEX1		8	8	1.0	No
RCC2		9	8	1.0	No
NKRF		8	8	1.0	No
DMAP1		8	8	1.0	No
LMOD3		8	8	1.0	No
FAM214A		8	8	1.0	No
LRRC8A		8	8	1.0	No
CABP5		8	8	1.0	No
SLC2A9		8	8	1.0	No
RAD18		8	8	1.0	No
HMCES		8	8	1.0	No
SMYD2		8	8	1.0	No
ENTPD7		8	8	1.0	No
TIGAR		8	8	1.0	No
CAMK1D		8	8	1.0	No
CD248		11	8	1.0	No
PLXDC1		8	8	1.0	No
MRPL47		8	8	1.0	No
SMURF1		9	8	1.0	No
TTC7A		8	8	1.0	No
NDRG3		8	8	1.0	No
ODF2L		9	8	1.0	No
XPO5		8	8	1.0	No
KIAA1328		8	8	1.0	No
ARRDC3		8	8	1.0	No
CRAMP1		8	8	1.0	No
LRRN1		8	8	1.0	No
DDX55		8	8	1.0	No
CPNE5		8	8	1.0	No
SCUBE2		9	8	1.0	No
SLAMF7		8	8	1.0	No
CACTIN		8	8	1.0	No
NTN4		8	8	1.0	No
SIGIRR		8	8	1.0	No
LDAH		8	8	1.0	No
CELF6		8	8	1.0	No
FKBP10		8	8	1.0	No
RNF123		8	8	1.0	No
MANBAL		8	8	1.0	No
CHP2		8	8	1.0	No
FAM217B		8	8	1.0	No
SAMSN1		8	8	1.0	No
SMOC2		8	8	1.0	No
MAGEF1		9	8	1.0	No
PJA1		9	8	1.0	No
ABCG5		8	8	1.0	No
TENT4B		8	8	1.0	No
RAB17		8	8	1.0	No
LMBR1		8	8	1.0	No
IKZF5		8	8	1.0	No
RGS18		8	8	1.0	No
PCNX4		8	8	1.0	No
NOM1		8	8	1.0	No
COPS7B		8	8	1.0	No
SMYD3		8	8	1.0	Yes
CEP85		8	8	1.0	No
MRPS9		8	8	1.0	No
GPBP1		8	8	1.0	No
RAPH1		8	8	1.0	No
PLEKHA3		8	8	1.0	No
AACS		9	8	1.0	No
ZBTB10		8	8	1.0	No
LYNX1		9	8	1.0	No
ERI3		8	8	1.0	No
NOC4L		8	8	1.0	No
ZSCAN5A		13	8	1.0	No
IRX3		8	8	1.0	No
ZNF557		8	8	1.0	No
LRRC2		8	8	1.0	No
CERS4		8	8	1.0	No
MSANTD2		8	8	1.0	No
IPO4		8	8	1.0	No
ZFAND1		8	8	1.0	No
ZNF668		8	8	1.0	No
ELMO3		8	8	1.0	No
KLHL36		8	8	1.0	No
GSDMD		8	8	1.0	No
KDM8		8	8	1.0	No
LPCAT1		8	8	1.0	No
MINDY3		8	8	1.0	No
SLC8B1		8	8	1.0	No
GPR157		8	8	1.0	No
ZC3H12A		8	8	1.0	No
CENPT		9	8	1.0	No
NAA15		8	8	1.0	No
CTC1		8	8	1.0	No
IFT74		8	8	1.0	No
MYO19		8	8	1.0	No
MUS81		8	8	1.0	No
PAAF1		8	8	1.0	No
CDK5RAP3		8	8	1.0	No
CEP70		8	8	1.0	No
CD276		8	8	1.0	Yes
VWA7		8	8	1.0	No
THUMPD2		8	8	1.0	No
TMEM177		8	8	1.0	No
NPL		9	8	1.0	No
GJA9		11	8	1.0	No
VOPP1		8	8	1.0	No
NUAK2		8	8	1.0	No
NUDT12		8	8	1.0	No
FERMT3		8	8	1.0	No
CRISPLD2		8	8	1.0	No
GRWD1		10	8	1.0	No
HDAC10		9	8	1.0	No
RASSF4		8	8	1.0	No
DTNBP1		8	8	1.0	No
PLEKHN1		8	8	1.0	No
KBTBD7		11	8	1.0	No
SLC41A2		9	8	1.0	No
PCGF6		8	8	1.0	No
CEP78		8	8	1.0	No
ABRAXAS1		8	8	1.0	Yes
LOXL4		8	8	1.0	No
SLC37A3		8	8	1.0	No
FLYWCH1		8	8	1.0	Yes
C7ORF50		8	8	1.0	No
CCDC77		8	8	1.0	No
PROK1		8	8	1.0	No
MEGF11		10	8	1.0	No
ACRBP		8	8	1.0	No
ZBTB37		8	8	1.0	No
LCE3D		8	8	1.0	No
ZNF347		9	8	1.0	No
TRIM63		8	8	1.0	No
TUBA1C		8	8	1.0	No
FAM220A		8	8	1.0	No
PTPN5		8	8	1.0	No
ZNF514		8	8	1.0	No
PPP1R16A		8	8	1.0	No
USP45		8	8	1.0	No
FBF1		11	8	1.0	No
RGS8		8	8	1.0	No
CABS1		8	8	1.0	No
ATG16L2		8	8	1.0	No
TSPAN18		8	8	1.0	No
EXOC3L2		8	8	1.0	No
DCAF15		8	8	1.0	No
KNSTRN		8	8	1.0	Yes
TBL1Y		8	8	1.0	No
LMF2		8	8	1.0	No
LONRF1		8	8	1.0	No
ACY3		8	8	1.0	No
DPH7		8	8	1.0	No
SYCE1		8	8	1.0	No
ZNF670		8	8	1.0	No
SYTL3		8	8	1.0	No
GLCCI1		9	8	1.0	No
KLHDC7B		8	8	1.0	No
MAL2		8	8	1.0	No
BTBD9		8	8	1.0	No
MBD6		8	8	1.0	No
SMYD4		8	8	1.0	No
LRRC42		8	8	1.0	No
NOSTRIN		8	8	1.0	No
FOXP4		9	8	1.0	No
GINM1		8	8	1.0	No
MRGPRD		9	8	1.0	No
MRGPRE		8	8	1.0	No
TADA1		8	8	1.0	No
PLAAT5		8	8	1.0	No
CIB3		8	8	1.0	No
ANTXR2		8	8	1.0	No
OR51A7		8	8	1.0	No
OR52M1		8	8	1.0	No
JAML		8	8	1.0	No
OR52W1		8	8	1.0	No
SP7		8	8	1.0	No
HYKK		8	8	1.0	No
IQCK		8	8	1.0	No
ANKS3		8	8	1.0	No
LRRC25		8	8	1.0	No
FBXO27		8	8	1.0	No
EDARADD		8	8	1.0	No
PIFO		8	8	1.0	No
ACMSD		8	8	1.0	No
LIN54		8	8	1.0	No
TRAM1L1		11	8	1.0	No
SLC9B2		8	8	1.0	No
EMB		8	8	1.0	No
PRRC1		8	8	1.0	No
ZNF474		8	8	1.0	No
TMEM174		8	8	1.0	No
PACRG		8	8	1.0	No
PRSS37		8	8	1.0	No
TCEAL2		8	8	1.0	No
TMEM37		8	8	1.0	No
B3GLCT		8	8	1.0	No
HAPLN3		8	8	1.0	No
ZSCAN29		8	8	1.0	No
TEPSIN		8	8	1.0	No
EME1		8	8	1.0	No
STARD6		8	8	1.0	No
APCDD1		8	8	1.0	No
ZNF565		8	8	1.0	No
ZNF582		8	8	1.0	No
CREB3L4		8	8	1.0	No
FAM163A		8	8	1.0	No
SLC30A7		8	8	1.0	No
IL23R		8	8	1.0	No
GPAT2		8	8	1.0	No
LRATD1		8	8	1.0	No
PPM1L		8	8	1.0	No
HDGFL1		8	8	1.0	No
MCMDC2		8	8	1.0	No
AK8		8	8	1.0	No
OR1Q1		8	8	1.0	No
CXORF65		8	8	1.0	No
LDHAL6A		8	8	1.0	No
PGBD4		9	8	1.0	No
ADAD2		8	8	1.0	No
RETREG3		8	8	1.0	No
C18ORF54		8	8	1.0	No
ZNF296		8	8	1.0	No
ZNF579		8	8	1.0	No
APCDD1L		8	8	1.0	No
TTLL8		9	8	1.0	No
CCDC138		8	8	1.0	No
GLIS3		9	8	1.0	No
TENT5D		8	8	1.0	No
XAGE3		8	8	1.0	No
METTL7B		8	8	1.0	No
FYB2		8	8	1.0	No
APOBEC3F		8	8	1.0	No
GKN2		8	8	1.0	No
APLF		8	8	1.0	No
SPRED2		8	8	1.0	No
RANBP3L		8	8	1.0	No
INTS6L		8	8	1.0	No
CABCOCO1		8	8	1.0	No
UNC5B		9	8	1.0	No
STOX1		8	8	1.0	No
CCNY		8	8	1.0	No
GLYATL2		8	8	1.0	No
FAM171A1		8	8	1.0	No
ZUP1		8	8	1.0	No
ZBTB12		11	8	1.0	No
HIST1H2AA		8	8	1.0	No
KDM1B		8	8	1.0	No
PPP1R35		8	8	1.0	No
FAM217A		8	8	1.0	No
TMEM130		8	8	1.0	No
WASHC2C		8	8	1.0	No
CALHM5		8	8	1.0	No
BCL6B		8	8	1.0	No
ZNF549		8	8	1.0	No
MAMDC2		8	8	1.0	No
PLCXD2		9	8	1.0	No
GPX6		8	8	1.0	No
SSX7		8	8	1.0	No
KCTD21		8	8	1.0	No
TMED8		8	8	1.0	No
SAXO2		8	8	1.0	No
HEXD		8	8	1.0	No
ZNF547		8	8	1.0	No
PRR19		8	8	1.0	No
ZNF763		8	8	1.0	No
SLC25A41		8	8	1.0	No
RSPO1		8	8	1.0	No
STPG4		8	8	1.0	No
FBXW12		8	8	1.0	No
C3ORF56		8	8	1.0	No
CCDC66		8	8	1.0	No
TPRG1		9	8	1.0	No
ZNF775		8	8	1.0	No
DPY19L4		8	8	1.0	No
KLHL10		10	8	1.0	No
C14ORF39		8	8	1.0	No
KRTAP13-2		8	8	1.0	No
KRTAP19-5		10	8	1.0	No
KRTAP21-2		8	8	1.0	No
ANO9		8	8	1.0	No
DUPD1		8	8	1.0	No
ZNF181		8	8	1.0	No
SLC35E4		8	8	1.0	No
TMPRSS11A		8	8	1.0	No
MYLK4		8	8	1.0	No
RTL5		8	8	1.0	No
CD300E		8	8	1.0	No
NACA2		8	8	1.0	No
MOGAT3		8	8	1.0	No
FAM71F2		8	8	1.0	No
SERINC2		9	8	1.0	No
WDR53		8	8	1.0	No
GLT6D1		8	8	1.0	No
USP50		8	8	1.0	No
RBM44		8	8	1.0	No
SIMC1		8	8	1.0	No
KRTAP10-1		8	8	1.0	No
RNF207		8	8	1.0	No
C2ORF80		8	8	1.0	No
FAM180A		8	8	1.0	No
C9ORF153		8	8	1.0	No
ZCCHC13		8	8	1.0	No
OR6C1		8	8	1.0	No
OR6C70		8	8	1.0	No
NUDT19		8	8	1.0	No
PRAMEF12		8	8	1.0	No
FAM221B		9	8	1.0	No
ARL13A		8	8	1.0	No
HEATR4		8	8	1.0	No
C10ORF120		8	8	1.0	No
SH2D5		8	8	1.0	No
RAB19		8	8	1.0	No
OR51A2		8	8	1.0	No
TAFA1		8	8	1.0	No
RNASE13		8	8	1.0	No
HIST2H2BF		8	8	1.0	No
NUTM2G		10	8	1.0	No
ARGFX		8	8	1.0	No
FAM83G		9	8	1.0	No
SBK2		8	8	1.0	No
ZBTB8A		8	8	1.0	No
METTL24		8	8	1.0	No
TMEM170B		8	8	1.0	No
ACADM		7	7	0.8	No
ACADS		7	7	0.8	No
ACTG1		7	7	0.8	Yes
ACY1		8	7	0.8	No
ADD1		8	7	0.8	No
ADRA2C		7	7	0.8	No
GRK3		7	7	0.8	No
ADSL		7	7	0.8	No
AGT		7	7	0.8	No
AHR		7	7	0.8	No
AKT1		8	7	0.8	Yes
AKT2		7	7	0.8	Yes
ALDH2		7	7	0.8	No
ALDH3B2		8	7	0.8	No
ALDOA		7	7	0.8	No
ALOX12B		7	7	0.8	Yes
ALOX15B		7	7	0.8	No
ALPG		7	7	0.8	No
AMELX		7	7	0.8	No
AQP5		7	7	0.8	No
RHOC		7	7	0.8	No
RND3		7	7	0.8	No
ARNT		7	7	0.8	Yes
ARNTL		7	7	0.8	No
ARSA		7	7	0.8	No
BCAT2		7	7	0.8	No
BCL2A1		7	7	0.8	No
TNFRSF17		7	7	0.8	Yes
BLVRA		8	7	0.8	No
POLR3D		7	7	0.8	No
BNIP1		7	7	0.8	No
BPGM		7	7	0.8	No
CA4		7	7	0.8	No
CACNB3		7	7	0.8	No
CALB1		7	7	0.8	No
CAPZA1		7	7	0.8	No
CBFA2T3		7	7	0.8	Yes
CCK		7	7	0.8	No
TNFRSF8		7	7	0.8	No
CD38		7	7	0.8	No
CD40LG		9	7	0.8	No
CD53		7	7	0.8	No
CDKN1A		7	7	0.8	Yes
CENPC		7	7	0.8	No
CEACAM7		7	7	0.8	No
CHN1		7	7	0.8	Yes
